AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
42415	scripts\Map\10人挑战太原之战_夜守孤城\ai\田布戈\田布戈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42416	scripts\Map\太原之战_夜守孤城\ai\田布戈小怪\狼牙巡逻军.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42417	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42418	scripts\Map\10人挑战太原之战_夜守孤城\ai\田布戈\田布戈范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42419	scripts\Map\10人挑战太原之战_夜守孤城\ai\田布戈\田布戈技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42420	scripts\Map\10人挑战太原之战_夜守孤城\ai\火龙摧城\火龙摧城本体.lua	0	2560	2560	32	2560	64	0	32	0	0	80	0	0	0	0		1	0	0	320
42421	scripts\Map\10人挑战太原之战_夜守孤城\ai\火龙摧城\火龙旋转炮.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42422	scripts\Map\10人挑战太原之战_夜守孤城\ai\火龙摧城\火龙喷火枪.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42423	scripts\Map\10人挑战太原之战_夜守孤城\ai\火龙摧城\油圈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42424	scripts\Map\10人挑战太原之战_夜守孤城\ai\火龙摧城\火圈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42425	scripts\Map\10人挑战太原之战_夜守孤城\ai\火龙摧城\机雷机关.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42426	scripts\Map\10人挑战太原之战_夜守孤城\ai\火龙摧城\喷火枪虚拟体.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42427	scripts\Map\10人挑战太原之战_夜守孤城\ai\火龙摧城\火墙机关.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42428	scripts\Map\10人挑战太原之战_夜守孤城\ai\火龙摧城\火墙机关总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42429	scripts\Map\10人挑战太原之战_夜守孤城\ai\火龙摧城\流程总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42430	scripts\Map\10人挑战太原之战_夜守孤城\ai\火龙摧城\阶段监控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42431	scripts\Map\10人挑战太原之战_夜守孤城\ai\火龙摧城\范围控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42432	scripts\Map\10人挑战太原之战_夜守孤城\ai\火龙摧城\落石.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42433	scripts/Map/世界通用/ai/标准无敌免屠杀.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42434	scripts/Map/世界通用/ai/标准无敌免屠杀.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42435	scripts\Map\太原之战_夜守孤城\ai\攻城战\攻城战总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
42436	scripts\Map\太原之战_夜守孤城\ai\攻城战\狼牙投石车.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
42437	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42438	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42439	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42440	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42441	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42442	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42443	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42444	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42445	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42446	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42447	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42448	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42449	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42450	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42451	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42452	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42453	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42454	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42455	scripts/Map/世界通用/ai/标准无敌免屠杀.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42456	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42457	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
