AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
68167	scripts/Map/敖龙岛/ai/5号BOSS驺吾/阵法总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
68168	scripts/Map/敖龙岛/ai/5号BOSS驺吾/阵眼.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
68169	scripts/Map/敖龙岛/ai/3号BOSS藤原武裔/藤原武裔.lua	0	1280	1280	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
68170	scripts/Map/敖龙岛/ai/6号BOSS方有崖/星象见.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
68171	scripts/Map/敖龙岛/ai/5号BOSS驺吾/驺吾狂暴总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
68172	scripts/Map/敖龙岛/ai/6号BOSS方有崖/四星流采总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
68173	scripts/Map/敖龙岛/ai/6号BOSS方有崖/四星流采替身.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
68174	scripts/Map/敖龙岛/ai/5号BOSS驺吾/教学部分/源思弦.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
68175	scripts/Map/敖龙岛/ai/1号_陈徽/陈徽.lua	0	1280	1280	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
68176	scripts/Map/敖龙岛/ai/1号_陈徽/千机伞.lua	0	1280	1280	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
68177	scripts/Map/敖龙岛/ai/1号_陈徽/通用预警Npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
68178	scripts/Map/敖龙岛/ai/1号_陈徽/暗器火残留.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
68179	scripts/Map/敖龙岛/ai/5号BOSS驺吾/教学部分/咒狐.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
68180	scripts/Map/敖龙岛/ai/4号BOSS源思弦/矩形AOE辅助NPC.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
68181	scripts/Map/敖龙岛/ai/5号BOSS驺吾/教学部分/教学总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
68182	scripts/Map/敖龙岛/ai/5号BOSS驺吾/教学部分/教学阵法总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
68183	scripts/Map/敖龙岛/ai/3号BOSS藤原武裔/通用预警Npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
68184	scripts/Map/敖龙岛/ai/4号BOSS源思弦/源思弦[BOSS本体].lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
68185	scripts/Map/敖龙岛/ai/5号BOSS驺吾/驺吾.lua	0	1280	1280	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
68186	scripts/Map/敖龙岛/ai/5号BOSS驺吾/源明玉.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
68187	scripts/Map/英雄迷渊岛/ai/1号_姜仇封/通用无敌.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
