AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
104104	scripts\Map\白帝江关\ai\3号_海荼\P3天怒惊霆戟.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
104105	scripts\Map\白帝江关\ai\2号_赵八嫂\赵八嫂.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104106	scripts\Map\白帝江关\ai\1号_胡汤\粉尘区.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104107	scripts/Map/狼牙堡_辉天堑/ai/周边/通用对话AI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104108	scripts\Map\白帝江关\ai\3号_海荼\被拉水鬼.lua	1	19200	19200	4	19200	64	0	32	0	384	80	0	0	0	0		1	1	1	320
104109	scripts/Map/白帝江关/ai/5号_宇文灭/特殊冰面.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
104110	scripts/ai/CommonFoolish.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
104111	scripts/ai/CommonFoolish.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104112	scripts\Map\白帝江关\ai\2号_赵八嫂\可燃物.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
104113	scripts/Map/白帝江关/ai/7号_宫傲/落影剑.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104114	scripts\Map\白帝江关\ai\5号_宇文灭\宇文灭.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104115	scripts\Map\白帝江关\ai\3号_海荼\抓人水鬼.lua	1	19200	19200	4	19200	64	0	32	0	384	80	0	0	0	0		1	1	1	320
104116	scripts/Map/白帝江关/ai/6号_宫威/宫威技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104117	scripts\Map\白帝江关\ai\2号_赵八嫂\可燃物.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
104118	scripts\Map\白帝江关\ai\3号_海荼\海荼技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104119	scripts\Map\白帝江关\ai\7号_宫傲\水中月.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
104120	scripts/Map/白帝江关/ai/6号_宫威/宫威范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104121	scripts\Map\白帝江关\ai\2号_赵八嫂\可燃物.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
104122	scripts/Map/白帝江关/ai/5号_宇文灭/宇文灭范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104123	scripts\Map\白帝江关\ai\4号_姜集苦\缠地烈火咒.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104125	scripts\Map\白帝江关\ai\7号_宫傲\水中月.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
104126	scripts\Map\白帝江关\ai\7号_宫傲\通用预警Npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
104127	scripts\Map\白帝江关\ai\3号_海荼\海荼范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104128	scripts\Map\白帝江关\ai\2号_赵八嫂\风向标.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104129	scripts/Map/白帝江关/ai/7号_宫傲/宫傲阶段总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104130	scripts/Map/白帝江关/ai/5号_宇文灭/宇文灭技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104131	scripts/Map/白帝江关/ai/7号_宫傲/标记.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
104132	scripts\Map\白帝江关\ai\7号_宫傲\水中月.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
104133	scripts\Map\白帝江关\ai\7号_宫傲\水中月.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
104134	scripts/Map/白帝江关/ai/5号_宇文灭/表现Npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104135	scripts/Map/白帝江关/ai/5号_宇文灭/表现Npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104136	scripts/ai/CommonFoolish.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
104137	scripts\Map\白帝江关\ai\7号_宫傲\水中月.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
104138	scripts\Map\白帝江关\ai\2号_赵八嫂\巡逻艇.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
