AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
7610	scripts\Map\25人普通持国天王殿\ai\持国天王.lua	0	768	768	32	256	64	960	32	640	640	80	0	30	0	0		1	0	0	320
7611	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
7612	scripts\Map\持国天王殿\ai\战斗前表现.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
7613	scripts\Map\持国天王殿\ai\战斗后表现.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
7614	scripts\Map\25人普通持国天王殿\ai\响木.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
7615	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
7616	scripts\Map\25人普通持国天王殿\ai\石磐.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
7617	scripts\Map\25人普通持国天王殿\ai\鼓声.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
7618	scripts\Map\25人普通持国天王殿\ai\管风.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
7619	scripts/ai/DungeonStandardAI.lua	0	4768	4768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
7620	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
7621	scripts\Map\25人普通持国天王殿\ai\时间总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
7622	scripts\Map\25人普通持国天王殿\ai\落石.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
7623	scripts\Map\25人普通持国天王殿\ai\落石控制.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
7624	scripts\Map\英雄风雨稻香村\ai\焰铁车.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
7625	scripts/ai/StandardAI.lua	1	0	0	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
7626	scripts\Map\25人普通持国天王殿\ai\木人总控.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
7627	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
7628	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
7629	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
7630	scripts/ai/DungeonStandardAI.lua	1	1768	1768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
7631	scripts\Map\25人普通持国天王殿\ai\铃声.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
7632	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
7633	scripts\Map\25人普通持国天王殿\ai\音爆.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
7634	scripts\Map\25人普通持国天王殿\ai\音波.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
7635	scripts\Map\25人普通持国天王殿\ai\重音.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
7636	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
