AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
101566	scripts\Map\达摩洞\ai\3号_武雪散\武雪散.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101567	scripts/Map/达摩洞/ai/6号_岳琳/岳琳.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101568	scripts\Map\达摩洞\ai\3号_武雪散\鬼门针.lua	0	768	1260	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
101569	scripts\Map\达摩洞\ai\3号_武雪散\银丝千织固定点.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101570	scripts/Map/达摩洞/ai/2号_宓桃/旋转飞刃.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101571	scripts\Map\达摩洞\ai\5号_哑头陀\哑头陀范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101572	scripts/Map/达摩洞/ai/2号_宓桃/曼陀罗.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101573	scripts/ai/CommonFoolish.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101574	scripts/Map/达摩洞/ai/5号_哑头陀/哑头陀.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101575	scripts\Map\达摩洞\ai\3号_武雪散\断脉总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101576	scripts\Map\达摩洞\ai\5号_哑头陀\增长天王技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101577	scripts/Map/达摩洞/ai/6号_岳琳/史朝义.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101578	scripts/Map/达摩洞/ai/5号_哑头陀/广目天王技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101579	scripts\Map\达摩洞\ai\3号_武雪散\白霜落.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101580	scripts\Map\达摩洞\ai\5号_哑头陀\净天眼辅助NPC.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101581	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101582	scripts\Map\达摩洞\ai\周边\七苦一乐\死苦\死苦总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101583	scripts/Map/达摩洞/ai/5号_哑头陀/持国天王技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101584	scripts\Map\达摩洞\ai\周边\七苦一乐\爱别离苦.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101585	scripts/Map/达摩洞/ai/2号_宓桃/宓桃.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101586	scripts/Map/达摩洞/ai/1号_血斗士/1号_血斗士.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101587	scripts\Map\达摩洞\ai\周边\七苦一乐\怨憎会苦\怨憎会苦.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101588	scripts\Map\达摩洞\ai\5号_哑头陀\增长天王.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101589	scripts\Map\达摩洞\ai\周边\七苦一乐\求不得苦.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101590	scripts/Map/达摩洞/ai/1号_血斗士/1号_血斗士技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101591	scripts/Map/狼牙堡_辉天堑/ai/周边/通用对话AI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101592	scripts/Map/达摩洞/ai/2号_宓桃/宓桃范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101593	scripts/Map/达摩洞/ai/6号_岳琳/岳琅技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101594	scripts/Map/达摩洞/ai/4号_猿飞/猿飞花式aoe.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101595	scripts\Map\达摩洞\ai\5号_哑头陀\广目天王.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101596	scripts/Map/达摩洞/ai/1号_血斗士/1号_血斗士总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101597	scripts/Map/达摩洞/ai/5号_哑头陀/矩形AOE辅助NPC.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101598	scripts/Map/达摩洞/ai/2号_宓桃/宓桃技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101599	scripts\Map\达摩洞\ai\5号_哑头陀\持国天王.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101600	scripts/Map/达摩洞/ai/4号_猿飞/通用预警Npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101601	scripts\Map\达摩洞\ai\5号_哑头陀\蒸汽.lua	1	19200	19200	4	19200	64	0	32	0	384	80	0	0	0	0		1	1	1	320
101602	scripts\Map\达摩洞\ai\5号_哑头陀\多闻天王.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101603	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101604	scripts/Map/达摩洞/ai/1号_血斗士/1号_血斗士崇拜值总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101605	scripts/Map/达摩洞/ai/周边/七苦一乐/生苦.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101606	scripts/Map/达摩洞/ai/5号_哑头陀/法印.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101607	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101608	scripts/Map/达摩洞/ai/周边/七苦一乐/老苦.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101609	scripts\Map\达摩洞\ai\3号_武雪散\飞针.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101610	scripts/Map/达摩洞/ai/2号_宓桃/飞轮回刃.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101611	scripts/Map/达摩洞/ai/周边/七苦一乐/病苦.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101612	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101613	scripts\Map\达摩洞\ai\3号_武雪散\银丝千织移动点.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101614	scripts\Map\达摩洞\ai\3号_武雪散\小怪.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
101615	scripts\Map\达摩洞\ai\周边\七苦一乐\通用对话AI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101616	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
101617	scripts\Map\达摩洞\ai\3号_武雪散\武雪散技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101618	scripts\Map\达摩洞\ai\3号_武雪散\武雪散范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
101619	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
