AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
124863	scripts/Map/九老洞/ai/1号_魏华/魏华.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
124864	scripts/Map/九老洞/ai/6号_月泉淮/迦楼罗连闪分身.lua	1	6400	6400	32	3200	64	0	32	0	384	80	0	0	0	0		1	1	1	320
124865	scripts/Map/九老洞/ai/3号_岑伤/岑伤可选分身.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
124866	scripts/Map/九老洞/ai/1号_魏华/魏华范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
124867	scripts/Map/九老洞/ai/6号_月泉淮/新月.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
124868	scripts/Map/九老洞/ai/6号_月泉淮/金翅鸟化身.lua	1	6400	6400	32	3200	64	0	32	0	384	80	0	0	0	0		1	1	1	320
124869	scripts/Map/九老洞/ai/1号_魏华/魏华技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
124870	scripts/Map/九老洞/ai/6号_月泉淮/友方NPC通用无敌.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
124871	scripts/Map/九老洞/ai/1号_魏华/星汉.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
124872	scripts/Map/九老洞/ai/5号_麒麟/雪崩飞雪.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
124873	scripts/Map/九老洞/ai/6号_月泉淮/弦月.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
124874	scripts/Map/九老洞/ai/1号_魏华/破野.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
124875	scripts\Map\九老洞\ai\4号_鬼筹\滚石总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
124876	scripts/Map/九老洞/ai/5号_麒麟/雪崩山裂.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
124877	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
124878	scripts/Map/九老洞/ai/3号_岑伤/岑伤连招惩罚总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
124879	scripts/Map/九老洞/ai/2号_钟不归/钟不归.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
124880	scripts\Map\九老洞\ai\4号_鬼筹\奔星.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
124881	scripts/Map/九老洞/ai/5号_麒麟/灵风呼嚎.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
124882	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
124883	scripts/Map/九老洞/ai/6号_月泉淮/满月.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
124884	scripts\Map\九老洞\ai\4号_鬼筹\落叶总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
124885	scripts/Map/九老洞/ai/2号_钟不归/钟不归范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
124887	scripts\Map\九老洞\ai\4号_鬼筹\符海.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
124888	scripts/Map/九老洞/ai/6号_月泉淮/月落.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
124889	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
124890	scripts/Map/九老洞/ai/2号_钟不归/钟不归技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
124891	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
124893	scripts/Map/九老洞/ai/6号_月泉淮/落石.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
