AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
106953	scripts/Map/黑山林海_雷域大泽/ai/3号_悉达罗摩/悉达罗摩范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106954	scripts/Map/黑山林海_雷域大泽/ai/3号_悉达罗摩/悉达罗摩技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106955	scripts/Map/黑山林海_雷域大泽/ai/3号_悉达罗摩/技能释放Npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
106956	scripts\Map\黑山林海_雷域大泽\ai\2号_桑乔\桑乔.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
106957	scripts/Map/黑山林海_雷域大泽/ai/1号_粉尘孢花/粉尘孢花本体.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
106958	scripts/Map/黑山林海_雷域大泽/ai/3号_悉达罗摩/蛊兽.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106959	scripts/Map/黑山林海_雷域大泽/ai/3号_悉达罗摩/蛊兽.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106960	scripts\Map\黑山林海_雷域大泽\ai\4号_血蛊巢心\血蛊巢心.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106961	scripts\Map\黑山林海_雷域大泽\ai\2号_桑乔\大圈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
106962	scripts/Map/黑山林海_雷域大泽/ai/1号_粉尘孢花/毒咬.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
106963	scripts/Map/黑山林海_雷域大泽/ai/3号_悉达罗摩/技能释放Npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
106964	scripts\Map\黑山林海_雷域大泽\ai\4号_血蛊巢心\毒蛊血露.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106965	scripts/Map/黑山林海_雷域大泽/ai/2号_桑乔/桑乔技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
106966	scripts\Map\黑山林海_雷域大泽\ai\1号_粉尘孢花\毒雨.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
106967	scripts/Map/黑山林海_雷域大泽/ai/3号_悉达罗摩/悉达罗摩.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106968	scripts/Map/黑山林海_雷域大泽/ai/1号_粉尘孢花/巨型尖吻凤范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
106969	scripts/Map/黑山林海_雷域大泽/ai/乌蒙贵/飞蛾幼虫.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106970	scripts\Map\黑山林海_雷域大泽\ai\2号_桑乔\小圈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
106971	scripts\Map\黑山林海_雷域大泽\ai\4号_血蛊巢心\摄魄鬼虫王.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106972	scripts/Map/黑山林海_雷域大泽/ai/1号_粉尘孢花/巨型尖吻凤技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
