AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
14866	scripts/ai/DungeonStandardAI.lua	1	768	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14867	scripts/ai/DungeonStandardAI.lua	1	768	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14868	scripts/ai/DungeonStandardAI.lua	1	768	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14869	scripts/ai/DungeonStandardAI.lua	1	768	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14870	scripts/ai/DungeonStandardAI.lua	0	768	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
14871	scripts/ai/DungeonStandardAI.lua	0	768	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
14872	scripts/ai/DungeonStandardAI.lua	1	768	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14873	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14874	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14875	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14876	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14877	scripts/ai/DungeonStandardAI.lua	1	768	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14878	scripts\Map\25人英雄荻花圣殿\ai\三号_慕容追风\药剂师.lua	1	1024	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14879	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14880	scripts/ai/DungeonStandardAI.lua	1	768	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14881	scripts/ai/DungeonStandardAI.lua	0	768	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
14882	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
14883	scripts\Map\25人英雄荻花圣殿\ai\1号_牡丹\牡丹.lua	1	1024	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
14884	scripts\Map\25人英雄荻花圣殿\ai\二号BOSS-蛇和人\二号BOSS-蛇.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
14885	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
14886	scripts\Map\25人英雄荻花圣殿\ai\三号_慕容追风\三号BOSS.lua	1	1024	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14887	scripts\Map\25人英雄荻花圣殿\ai\四号_卫栖吾\四号BOSS使者.lua	1	1024	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14888	scripts\Map\25人英雄荻花圣殿\ai\四号_卫栖吾\范围控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
14889	scripts\Map\25人英雄荻花圣殿\ai\六号BOSS_阿萨辛\六号BOSS.lua	0	1786	1786	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
14890	scripts\Map\25人英雄荻花圣殿\ai\七号BOSS_沙利亚\七号BOSS沙利亚.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
14891	scripts\Map\25人英雄荻花圣殿\ai\四号_卫栖吾\法老.lua	1	1024	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14892	scripts/ai/DungeonStandardAI.lua	1	3768	3768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
14893	scripts\Map\25人英雄荻花圣殿\ai\二号BOSS-蛇和人\锯牙毒雾.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
14894	scripts\Map\25人英雄荻花圣殿\ai\四号_卫栖吾\飞云回转刀.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
14895	scripts\Map\25人英雄荻花圣殿\ai\二号BOSS-蛇和人\毒弹.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
14896	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
14897	scripts\Map\25人英雄荻花圣殿\ai\六号BOSS_阿萨辛\驱魔刀.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
14898	scripts\Map\25人英雄荻花圣殿\ai\七号BOSS_沙利亚\葬魂钉.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
14899	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
14900	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
14901	scripts\Map\25人英雄荻花圣殿\ai\七号BOSS_沙利亚\血玉.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	1		1	0	0	320
14902	scripts\Map\25人英雄荻花圣殿\ai\七号BOSS_沙利亚\蝎王毒钢刺.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
14903	scripts\Map\25人英雄荻花圣殿\ai\三号_慕容追风\毒盅.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
14904	scripts\Map\25人英雄荻花圣殿\ai\三号_慕容追风\毒盅.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
14905	scripts\Map\25人英雄荻花圣殿\ai\三号_慕容追风\毒盅.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
14906	scripts\Map\25人英雄荻花圣殿\ai\三号_慕容追风\毒盅.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
14907	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
14908	scripts\Map\25人英雄荻花圣殿\ai\1号_牡丹\牡丹总控.lua	1	1024	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
14909	scripts\Map\25人英雄荻花圣殿\ai\三号_慕容追风\三号BOSS阶段总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
14910	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
