AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
110621	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110622	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110623	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110624	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110625	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110685	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110686	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110717	scripts/Map/ACT_828首领扮演/ai/ACT_安小逢总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110821	scripts/Map/ACT_828首领扮演/ai/冒险者npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110827	scripts/Map/ACT_828首领扮演/ai/安小逢/安小逢的圈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110831	scripts/Map/ACT_828首领扮演/ai/冒险者npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110832	scripts/Map/ACT_828首领扮演/ai/冒险者npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110833	scripts/Map/ACT_828首领扮演/ai/冒险者npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110834	scripts/Map/ACT_828首领扮演/ai/冒险者npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110835	scripts/Map/ACT_828首领扮演/ai/冒险者npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110836	scripts/Map/ACT_828首领扮演/ai/冒险者npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110837	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110838	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110839	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110840	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110841	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110842	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110843	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110844	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110845	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110846	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110847	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110860	scripts/Map/ACT_828首领扮演/ai/冒险者npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110861	scripts/Map/ACT_828首领扮演/ai/冒险者npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110862	scripts/Map/ACT_828首领扮演/ai/冒险者npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110863	scripts/Map/ACT_828首领扮演/ai/冒险者npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110864	scripts/Map/ACT_828首领扮演/ai/冒险者npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110865	scripts/Map/ACT_828首领扮演/ai/冒险者npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110866	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110867	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110868	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110869	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110870	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110879	scripts/Map/ACT_828首领扮演/ai/小剧场.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110880	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110881	scripts/Map/ACT_828首领扮演/ai/关卡总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110882	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
