AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
66759	scripts/Map/ACT_浪客行/ai/吟唱不转向boss.lua	1	1536	1536	32	3840	64	0	32	512	384	80	0	0	0	0		0	1	1	320
66760	scripts/Map/ACT_浪客行/ai/吟唱不转向boss.lua	1	1536	1536	32	3840	64	0	32	512	384	80	0	0	0	0		0	1	1	320
66761	scripts/Map/ACT_浪客行/ai/吟唱不转向boss.lua	1	1536	1536	32	3840	64	0	32	512	384	80	0	0	0	0		0	1	1	320
66762	scripts/Map/ACT_浪客行/ai/鬼火.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
66763	scripts/Map/ACT_浪客行/ai/鬼门.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
66764	scripts/Map/ACT_浪客行/ai/鬼门.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
66765	scripts/Map/ACT_浪客行/ai/鬼门总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
66766	scripts/Map/ACT_浪客行/ai/吟唱不转向boss.lua	1	1536	1536	32	3840	64	0	32	512	384	80	0	0	0	0		1	0	1	320
66767	scripts/Map/ACT_浪客行/ai/毒池.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
66768	scripts/Map/ACT_浪客行/ai/毒物总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
66769	scripts/Map/ACT_浪客行/ai/骨刺.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
66770	scripts/Map/ACT_浪客行/ai/吟唱不转向boss.lua	1	1536	1536	32	3840	64	0	32	512	384	80	0	0	0	0		0	1	1	320
66771	scripts/Map/ACT_浪客行/ai/吟唱不转向boss.lua	1	1536	1536	32	3840	64	0	32	512	384	80	0	0	0	0		0	1	1	320
66772	scripts/Map/ACT_浪客行/ai/吟唱不转向boss.lua	1	1536	1536	32	3840	64	0	32	512	384	80	0	0	0	0		0	1	1	320
66773	scripts/Map/ACT_浪客行/ai/吟唱不转向boss.lua	1	1536	1536	32	3840	64	0	32	512	384	80	0	0	0	0		0	1	1	320
66774	scripts/Map/ACT_浪客行/ai/吟唱不转向boss.lua	1	1536	1536	32	3840	64	0	32	512	384	80	0	0	0	0		0	1	1	320
66775	scripts/Map/ACT_浪客行/ai/吟唱不转向boss.lua	1	1536	1536	32	3840	64	0	32	512	384	80	0	0	0	0		0	1	1	320
66776	scripts/Map/ACT_浪客行/ai/吟唱不转向boss.lua	1	1536	1536	32	3840	64	0	32	512	384	80	0	0	0	0		0	1	1	320
66777	scripts/Map/ACT_浪客行/ai/吟唱不转向boss.lua	1	1536	1536	32	3840	64	0	32	512	384	80	0	0	0	0		0	1	1	320
66778	scripts/Map/ACT_浪客行/ai/吟唱不转向boss.lua	1	1536	1536	32	3840	64	0	32	512	384	80	0	0	0	0		0	1	1	320
66779	scripts/Map/ACT_浪客行/ai/吟唱不转向boss.lua	1	1536	1536	32	3840	64	0	32	512	384	80	0	0	0	0		0	1	1	320
66780	scripts/Map/ACT_浪客行/ai/吟唱不转向boss.lua	1	1536	1536	32	3840	64	0	32	512	384	80	0	0	0	0		0	1	1	320
66781	scripts/Map/ACT_浪客行/ai/吟唱不转向boss.lua	1	1536	1536	32	3840	64	0	32	512	384	80	0	0	0	0		0	1	1	320
