AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
125744	scripts/Map/ACT_罗小黑/ai/一次性爆炸陷阱.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
125765	scripts/Map/ACT_罗小黑/ai/金币.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
125771	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
125773	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
125775	scripts/Map/ACT_罗小黑/ai/触发性爆炸陷阱.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
125814	scripts/Map/ACT_罗小黑/ai/持续陷阱.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
125815	scripts/Map/永王行宫_花月别院/ai/2号/香妃的空AI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
125820	scripts/Map/ACT_罗小黑/ai/间隔陷阱.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
125822	scripts/Map/ACT_罗小黑/ai/间隔陷阱.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
125833	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
125836	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
125999	scripts\Map\ACT_通用PQ\ai\标记NPC.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126000	scripts/Map/ACT_罗小黑/ai/PQ441_总控AI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126001	scripts/Map/ACT_罗小黑/ai/PQ441_总控监控AI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126004	scripts/Map/ACT_罗小黑/ai/比丢bossAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126006	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	512	384	80	0	0	0	0		1	0	1	320
126015	scripts/Map/ACT_罗小黑/ai/木桥连线机关.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126037	scripts/Map/ACT_罗小黑/ai/木桥终点.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126039	scripts/Map/ACT_罗小黑/ai/通用起点.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126057	scripts/Map/ACT_罗小黑/ai/独木桥猩猩.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126058	scripts/Map/ACT_罗小黑/ai/木桥上奔跑的猴子.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126059	scripts/Map/ACT_罗小黑/ai/间隔舞棍的猴子.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126060	scripts/Map/ACT_罗小黑/ai/木桥关卡总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126075	scripts/Map/ACT_罗小黑/ai/小剧场1号.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126077	scripts/Map/ACT_罗小黑/ai/检测玩家是否坠落.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126129	scripts/Map/ACT_罗小黑/ai/盗猎者.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126135	scripts/Map/ACT_罗小黑/ai/重置冲刺球.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126137	scripts/Map/ACT_罗小黑/ai/盗猎者的子弹.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126138	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126177	scripts/Map/ACT_罗小黑/ai/万灵山庄秘药.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126178	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126179	scripts/Map/ACT_罗小黑/ai/建木海咬人的狼.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126182	scripts/Map/ACT_罗小黑/ai/恶狼停止检测.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126183	scripts/Map/永王行宫_花月别院/ai/2号/香妃的空AI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126207	scripts/Map/ACT_罗小黑/ai/旋转种子.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126209	scripts/Map/永王行宫_花月别院/ai/2号/香妃的空AI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126217	scripts/Map/ACT_罗小黑/ai/蒲公英.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126218	scripts/Map/ACT_罗小黑/ai/蒲公英.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126219	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126220	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126228	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
126229	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
126230	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
126231	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
126232	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
126233	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
126234	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126235	scripts/Map/ACT_罗小黑/ai/飞行的子弹.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126236	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126237	scripts/Map/ACT_罗小黑/ai/小乘黄.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126238	scripts/Map/ACT_罗小黑/ai/中乘黄.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126239	scripts/Map/ACT_罗小黑/ai/大乘黄.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126248	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
126249	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126250	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126251	scripts/Map/ACT_罗小黑/ai/大型弥灵果.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
126266	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
126267	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
