AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
36922	scripts\Map\Act_挑战策划\ai\曾黑强.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
36924	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36931	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36938	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36952	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36953	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36957	scripts\Map\Act_挑战策划\ai\陈小高.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
36958	scripts\Map\Act_挑战策划\ai\陈小高总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36959	scripts\Map\Act_挑战策划\ai\曾黑强总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36960	scripts\Map\Act_挑战策划\ai\李小俊.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
36961	scripts\Map\Act_挑战策划\ai\李小俊总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36962	scripts\Map\Act_挑战策划\ai\康大熊.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
36963	scripts\Map\Act_挑战策划\ai\康大熊总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36964	scripts\Map\Act_挑战策划\ai\张大力.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
36965	scripts\Map\Act_挑战策划\ai\张大力总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36966	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
36972	scripts\Map\Act_挑战策划\ai\老奶奶.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
36973	scripts\Map\Act_挑战策划\ai\老奶奶.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
36980	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36981	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36982	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
37022	scripts\Map\Act_挑战策划\ai\828策划BOSS.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
37023	scripts\Map\Act_挑战策划\ai\828策划BOSS.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
37024	scripts\Map\Act_挑战策划\ai\828策划BOSS.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
37025	scripts\Map\Act_挑战策划\ai\828策划BOSS.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
37026	scripts\Map\Act_挑战策划\ai\828策划BOSS.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
37027	scripts\Map\Act_挑战策划\ai\828策划BOSS范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
37028	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
