AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
30414	scripts\Map\Act_ÓÄÁê½Ù³±\ai\PQ·çÑ©µ¾Ïã´å\Ê·³¯Òå.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
30415	scripts/ai/StandardAI.lua	1	700	700	32	256	64	0	32	512	384	80	0	0	0	0		1	0	1	320
30416	scripts/ai/StandardAI.lua	1	700	700	32	256	64	0	32	512	384	80	0	0	0	0		1	0	1	320
30418	scripts\Map\Act_ÓÄÁê½Ù³±\ai\PQ·çÑ©µ¾Ïã´å\PQ·çÑ©×Ü¿Ø.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30419	scripts\Map\Act_ÓÄÁê½Ù³±\ai\PQ·çÑ©µ¾Ïã´å\Ê·³¯ÒåÑªÁ¿¼à¿Ø.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30420	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30421	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30428	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30430	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30431	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30432	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30433	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30434	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30435	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30436	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30437	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30438	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30449	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30482	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30495	scripts\Map\Act_ÓÄÁê½Ù³±\ai\PQÇØ»ÊÁê\ºôÑÓĞ¥ÔÆ.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30498	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30499	scripts\Map\Act_ÓÄÁê½Ù³±\ai\PQÇØ»ÊÁê\º®Ëª¼ı.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30500	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30501	scripts\Map\Act_ÓÄÁê½Ù³±\ai\PQÇØ»ÊÁê\Ô¤ÈÈÊ¯Ù¸.lua	1	700	700	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
30502	scripts\Map\Act_ÓÄÁê½Ù³±\ai\PQÇØ»ÊÁê\PQÇØ»Ê×Ü¿Ø.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30503	scripts\Map\Act_ÓÄÁê½Ù³±\ai\PQÇØ»ÊÁê\ºôÑÓÑªÁ¿¼à¿Ø.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30504	scripts\Map\Act_ÓÄÁê½Ù³±\ai\PQÇØ»ÊÁê\º®Ëª¼ı×Ü¿Ø.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30505	scripts/Map/Act_ÓÄÁê½Ù³±/ai/ÃÔÏÉÒı¾çÇé×Ü¿Ø.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30511	scripts/Map/Act_ÓÄÁê½Ù³±/ai/¿Õ.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
