AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
66743	scripts/Map/敖龙岛/ai/5号BOSS驺吾/阵法总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
66749	scripts/Map/敖龙岛/ai/5号BOSS驺吾/阵眼.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66751	scripts/Map/敖龙岛/ai/3号BOSS藤原武裔/藤原武裔.lua	0	1280	1280	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
66753	scripts/Map/敖龙岛/ai/6号BOSS方有崖/星象见.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
66754	scripts/Map/敖龙岛/ai/3号BOSS藤原武裔/通用预警Npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66755	scripts/Map/敖龙岛/ai/4号BOSS源思弦/源思弦[BOSS本体].lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
66812	scripts/Map/敖龙岛/ai/5号BOSS驺吾/驺吾.lua	0	1280	1280	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
66813	scripts/Map/敖龙岛/ai/5号BOSS驺吾/源明玉.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66814	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66815	scripts/Map/敖龙岛/ai/周边NPC/赵涵雅.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66849	scripts/Map/敖龙岛/ai/5号BOSS驺吾/龙脉精华刷新总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66850	scripts/Map/敖龙岛/ai/5号BOSS驺吾/驺吾范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
66851	scripts/Map/敖龙岛/ai/5号BOSS驺吾/驺吾技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66870	scripts/Map/敖龙岛/ai/1号_陈徽/陈徽.lua	0	1280	1280	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
