AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
109004	scripts/Map/百战异闻录_外部技能/ai/一闪天诛_移动距离记录.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
109005	scripts\Map\百战异闻录_玩家\ai\暗狼袭爪_子弹.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
109006	scripts/Map/百战异闻录_外部技能/ai/疯狂咆哮.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
109007	scripts/Map/百战异闻录_外部技能/ai/兵犬丸_测试.lua	0	1280	1280	32	256	64	0	32	512	384	80	0	0	0	0		1	0	1	320
109008	scripts\Map\百战异闻录_玩家\ai\黑煞落贪狼_持续伤害.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
109009	scripts/Map/百战异闻录_玩家/ai/异木草标记.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
109010	scripts\Map\百战异闻录_玩家\ai\通世金诀_骰子.lua	0	768	768	32	256	64	0	32	0	0	80	0	0	0	0		1	0	0	320
109011	scripts/Map/百战异闻录_外部技能/ai/兵犬丸_替身.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
109012	scripts/Map/百战异闻录_外部技能/ai/内力潮汐.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
109013	scripts/Map/百战异闻录_外部技能/ai/肖童_蝮蛇.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
109014	scripts/Map/百战异闻录_玩家/ai/冯度_黑雾.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
109015	scripts\Map\百战异闻录_玩家\ai\飞云回转刀.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
109016	scripts/Map/百战异闻录_外部技能/ai/肖童_炼蛇花.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
109017	scripts\Map\百战异闻录_玩家\ai\花钱消灾_钱袋.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
109018	scripts/Map/百战异闻录_玩家/ai/异木草.lua	0	1280	1280	32	256	64	0	32	512	384	80	0	0	0	0		1	0	1	320
109019	scripts/Map/百战异闻录_玩家/ai/血涂风暴引力.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
109020	scripts/Map/百战异闻录_外部技能/ai/蝮蛇死亡_治疗环.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
109021	scripts/Map/百战异闻录_玩家/ai/血涂风暴血球.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
109022	scripts/Map/百战异闻录_玩家/ai/龙象般若功_头部.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
