AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
56925	scripts/Map/·çÀ×µ¶¹È_Ç§À×µî/ai/ÒÁÂêÄ¿/ÒÁÂêÄ¿.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
56926	scripts/Map/·çÀ×µ¶¹È_Ç§À×µî/ai/ÒÁÂêÄ¿/ÒÁÂêÄ¿×Ü¿Ø.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
56927	scripts/Map/·çÀ×µ¶¹È_Ç§À×µî/ai/Áøğ½Æì/Áøğ½Æì.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
56928	scripts/Map/·çÀ×µ¶¹È_Ç§À×µî/ai/Áøğ½Æì/À×Éß.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
56929	scripts/Map/·çÀ×µ¶¹È_Ç§À×µî/ai/ÁøĞãÔÀ/ÎåĞĞËéÆ¬.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
56930	scripts/Map/·çÀ×µ¶¹È_Ç§À×µî/ai/ÁøĞãÔÀ/ÎåĞĞËéÆ¬.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
56931	scripts/Map/·çÀ×µ¶¹È_Ç§À×µî/ai/ÒÁÂêÄ¿/¹öÊ¯.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
56932	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
56933	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
56934	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
56935	scripts/Map/·çÀ×µ¶¹È_Ç§À×µî/ai/ÁøĞãÔÀ/¹ìµÀ³İÂÖ.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
