AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
54472	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号哥舒翰.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54473	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号范围.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54474	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号技能.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54475	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号技能辅助.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54476	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号五方守护.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54477	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号落枪.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54478	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号枪魂.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54479	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号枪气.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54480	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号圆火圈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54481	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号横扫引子.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
54482	scripts\Map\上阳宫_双曜亭\ai\黑齿元佑\黑齿元佑.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
