AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
3405	scripts\Map\天地三才阵\ai\邓文峰鼠窜.lua	1	1024	1024	32	256	320	960	32	0	384	80	0	80	0	0		1	0	1	320
3406	scripts\Map\天地三才阵\ai\三才阵四大傻.lua	1	768	768	32	256	240	512	16	0	0	80	0	80	0	0		0	0	1	320
3407	scripts\Map\天地三才阵\ai\三才阵四大傻.lua	1	768	768	32	256	240	512	16	0	0	80	0	80	0	0		0	0	1	320
3408	scripts\Map\天地三才阵\ai\三才阵四大傻.lua	1	768	768	32	256	240	512	16	0	0	80	0	80	0	0		0	0	1	320
3409	scripts\Map\天地三才阵\ai\三才阵四大傻.lua	1	768	768	32	256	240	512	16	0	0	80	0	80	0	0		0	0	1	320
3410	scripts/ai/DungeonStandardAI.lua	1	1792	1792	32	256	64	0	32	0	384	80	0	30	0	0		1	1	1	320
3411	scripts/ai/DungeonStandardAI.lua	1	1792	1792	32	256	64	0	32	0	384	80	0	30	0	0		1	1	1	320
3412	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	0	30	0	0		1	1	1	320
3413	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
3414	scripts/ai/DungeonStandardAI.lua	1	1792	1792	32	256	64	0	32	0	384	80	0	30	0	0		1	1	1	320
3415	scripts/ai/DungeonStandardAI.lua	1	1792	1792	32	256	64	0	32	0	384	80	0	30	0	0		1	1	1	320
3416	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
3417	scripts/ai/DungeonStandardAI.lua	1	1792	1792	32	256	64	0	32	0	384	80	0	30	0	0		1	1	1	320
3418	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
3419	scripts/ai/DungeonStandardAI.lua	1	1792	1792	32	256	64	0	32	0	384	80	0	30	0	0		1	1	1	320
3420	scripts\Map\天地三才阵\ai\三才阵1号人熊.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
3421	scripts\Map\天地三才阵\ai\三才阵1号巨熊.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
3422	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	30	0	0		1	0	0	320
3423	scripts\Map\天地三才阵\ai\商仲永.lua	1	1024	1024	32	256	160	800	64	0	384	80	0	30	0	0		1	0	1	320
3441	scripts/ai/DungeonStandardAI.lua	1	1792	1792	32	256	64	0	32	0	384	80	0	30	0	0		1	1	1	320
3445	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	30	0	0		0	0	0	320
3446	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	30	0	0		0	0	0	320
3447	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	30	0	0		0	0	0	320
3463	scripts/ai/DungeonStandardAI.lua	1	1920	1920	32	256	64	0	32	0	384	80	0	30	0	0		1	1	1	320
3590	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	30	0	0		1	0	0	320
3591	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	30	0	0		1	0	0	320
5069	scripts/ai/DungeonStandardAI.lua	1	1920	1920	32	256	64	0	32	0	384	80	0	30	0	0		1	1	1	320
5104	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
6235	scripts/ai/DungeonStandardAI.lua	1	1024	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
