AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
61114	scripts/Map/冰火岛_荒血路/ai/1号_康疑/康疑.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
61135	scripts/Map/冰火岛_荒血路/ai/1号_康疑/康疑范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
61136	scripts/Map/冰火岛_荒血路/ai/1号_康疑/康疑技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
61139	scripts/Map/冰火岛_荒血路/ai/1号_康疑/1号_康疑_音爆.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
61147	scripts/Map/冰火岛_荒血路/ai/1号_康疑/乐器.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
61148	scripts/Map/冰火岛_荒血路/ai/1号_康疑/乐器.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
61149	scripts/Map/冰火岛_荒血路/ai/1号_康疑/乐器.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
61177	scripts/Map/冰火岛_荒血路/ai/2号_铂尔/铂尔.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
61191	scripts/Map/冰火岛_荒血路/ai/3号_罗纳真/罗纳真.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
61192	scripts/Map/冰火岛_荒血路/ai/2号_铂尔/铂尔技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
61193	scripts/Map/冰火岛_荒血路/ai/2号_铂尔/铂尔范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
61194	scripts/Map/冰火岛_荒血路/ai/2号_铂尔/神罚.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
61195	scripts/Map/冰火岛_荒血路/ai/2号_铂尔/回血信仰.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
61196	scripts/Map/冰火岛_荒血路/ai/2号_铂尔/子弹通用AI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
61197	scripts/Map/冰火岛_荒血路/ai/2号_铂尔/通用预警Npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
61199	scripts/Map/冰火岛_荒血路/ai/3号_罗纳真/罗纳真范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
61200	scripts/Map/冰火岛_荒血路/ai/3号_罗纳真/罗纳真技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
61206	scripts\Map\冰火岛_荒血路\ai\2号_铂尔\通用预警Npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
61208	scripts/Map/冰火岛_荒血路/ai/2号_铂尔/子弹通用AI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
