AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
43092	scripts/ai/DungeonStandardAI.lua	1	900	900	0	900	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43093	scripts/ai/DungeonStandardAI.lua	1	900	900	0	900	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42900	scripts\Map\è²´äº£Ìü\ai\1ºÅBOSS_ÓîÎÄ»­\ÓîÎÄ»­.lua	1	1300	2000	0	500	64	0	32	0	384	80	0	0	0	0		0	1	0	320
42901	scripts\Map\è²´äº£Ìü\ai\2ºÅBOSS_A\BOSSÃ«Ã«.lua	1	1300	2000	0	500	64	0	32	0	384	80	0	0	0	0		0	1	0	320
43194	scripts\Map\è²´äº£Ìü\ai\1ºÅBOSS_ÓîÎÄ»­\1ºÅË®ÖùAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43195	scripts\Map\è²´äº£Ìü\ai\1ºÅBOSS_ÓîÎÄ»­\1ºÅË®Á÷ÐÇAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43196	scripts\Map\è²´äº£Ìü\ai\2ºÅBOSS_A\2ºÅA½£ÆøÇò±¬Õ¨.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43197	scripts\Map\è²´äº£Ìü\ai\2ºÅBOSS_A\³¾Áú¿ÕÕ¶³å»÷²¨AI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42902	scripts\Map\è²´äº£Ìü\ai\2ºÅBOSS_B\BOSSÄªÓê.lua	1	1300	2000	0	300	64	0	32	0	384	80	0	0	0	0		0	1	0	320
42903	scripts\Map\è²´äº£Ìü\ai\3ºÅBOSS_ÑªÆÍ¹¬äé\BOSS¹¬äé.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
43554	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
