AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
110015	scripts/Map/楚州_江天夜宴/ai/1号_笑妆娘/笑妆娘.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110016	scripts/Map/楚州_江天夜宴/ai/1号_笑妆娘/笑妆娘范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110017	scripts/Map/楚州_江天夜宴/ai/1号_笑妆娘/笑妆娘技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110018	scripts/Map/楚州_江天夜宴/ai/2号_白兆霆/白兆霆.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110019	scripts/Map/楚州_江天夜宴/ai/2号_白兆霆/白兆霆范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110020	scripts/Map/楚州_江天夜宴/ai/2号_白兆霆/白兆霆技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110021	scripts/Map/楚州_江天夜宴/ai/3号_邙赫达/邙赫达.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110022	scripts/Map/楚州_江天夜宴/ai/3号_邙赫达/邙赫达范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110023	scripts/Map/楚州_江天夜宴/ai/3号_邙赫达/邙赫达技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110024	scripts/Map/楚州_江天夜宴/ai/2号_白兆霆/幽怜气斩.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110242	scripts/Map/楚州_江天夜宴/ai/周边/桑来照.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110243	scripts/Map/楚州_江天夜宴/ai/周边/傅七殊.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110244	scripts/Map/楚州_江天夜宴/ai/周边/镜归渊.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110245	scripts/Map/楚州_江天夜宴/ai/周边/镜演.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110246	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
110247	scripts/Map/楚州_江天夜宴/ai/周边/赵武达.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110248	scripts/Map/楚州_江天夜宴/ai/周边/刑庭恩.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110249	scripts/Map/楚州_江天夜宴/ai/3号_邙赫达/音域.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110460	scripts/Map/楚州_江天夜宴/ai/1号_笑妆娘/殇魂舞_矩形.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110484	scripts/Map/楚州_江天夜宴/ai/周边/傅七殊_影子.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
110486	scripts/ai/DungeonStandardAI.lua	1	1600	100	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
111423	scripts/ai/DungeonStandardAI.lua	1	1600	100	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
111424	scripts/Map/楚州_江天夜宴/ai/周边/赵武达.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111432	scripts/Map/楚州_江天夜宴/ai/周边/赵武达.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111433	scripts/Map/楚州_江天夜宴/ai/周边/赵武达.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111434	scripts/Map/楚州_江天夜宴/ai/周边/翼奴.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111459	scripts/ai/DungeonStandardAI.lua	1	1600	100	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
111474	scripts/Map/楚州_江天夜宴/ai/2号_白兆霆/青江盟打手.lua	1	1600	100	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
111476	scripts/Map/楚州_江天夜宴/ai/周边/尉关山.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111477	scripts/Map/楚州_江天夜宴/ai/周边/赵武达.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111478	scripts/Map/楚州_江天夜宴/ai/周边/赵武达.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111479	scripts/Map/楚州_江天夜宴/ai/周边/赵武达.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
111611	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
111612	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
111613	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
113092	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
113225	scripts/Map/楚州_江天夜宴/ai/周边/下马总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
113400	scripts/Map/楚州_江天夜宴/ai/周边/赵武达.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
113425	scripts/Map/楚州_江天夜宴/ai/周边/赵武达.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
113452	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
