AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
15654	scripts\Map\成都\ai\表现专用标准AI变型.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
15655	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
15656	scripts\Map\荻花洞窟\ai\四蛇\范围控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15657	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
15658	scripts\Map\荻花洞窟\ai\四蛇\毒泡.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15659	scripts\Map\荻花洞窟\ai\四蛇\孵化.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15660	scripts\Map\荻花洞窟\ai\四蛇\增益符文.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15661	scripts\Map\荻花洞窟\ai\四蛇\增益符文.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15662	scripts\Map\荻花洞窟\ai\四蛇\咒符.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15668	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15669	scripts/ai/DungeonStandardAI.lua	0	1768	1768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
15670	scripts\Map\荻花洞窟\ai\特殊武器任务关卡\BOOMER自身战斗.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15671	scripts/ai/DungeonStandardAI.lua	1	1768	1768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
15672	scripts\Map\荻花洞窟\ai\四蛇\增益符文.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15673	scripts\Map\荻花洞窟\ai\四蛇\增益符文.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15674	scripts\Map\荻花洞窟\ai\四蛇\方天神符.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15678	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15680	scripts\Map\荻花洞窟\ai\四蛇\源明雅和多多.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15696	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15711	scripts\Map\荻花洞窟\ai\四蛇\蛇头.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15741	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15758	scripts\Map\荻花洞窟\ai\四蛇\毒泡中心.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
15767	scripts\Map\荻花洞窟\ai\四蛇\蛇腹.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
16254	scripts/ai/DungeonStandardAI.lua	1	1768	1768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
16265	scripts\Map\英雄荻花洞窟\ai\四蛇\焚烧烈焰.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
16385	scripts/ai/DungeonStandardAI.lua	0	768	1768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
16438	scripts\Map\荻花洞窟\ai\特殊武器任务关卡\Tank被击AI之兑位.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
16439	scripts\Map\荻花洞窟\ai\特殊武器任务关卡\Tank被击AI之离位.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
16440	scripts\Map\荻花洞窟\ai\特殊武器任务关卡\Tank被击AI之震位.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
16441	scripts\Map\荻花洞窟\ai\特殊武器任务关卡\Tank被击AI之坤位.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
16442	scripts\Map\荻花洞窟\ai\特殊武器任务关卡\Tank被击AI之艮位.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
16443	scripts\Map\荻花洞窟\ai\特殊武器任务关卡\Tank被击AI之坎位.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
16444	scripts\Map\荻花洞窟\ai\特殊武器任务关卡\Tank被击AI之巽位.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
16465	scripts\Map\荻花洞窟\ai\特殊武器任务关卡\BOOMER行走总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
16471	scripts\Map\荻花洞窟\ai\特殊武器任务关卡\Tank被击AI之乾位.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
16494	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
