AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
8168	scripts\Map\法王窟\ai\白眉鼠王\法王窟鼠王.lua	1	1300	1800	32	300	64	0	32	0	384	80	0	0	0	0		0	1	0	320
8169	scripts\Map\法王窟\ai\青翼蝠王\二号青翼蝠王.lua	1	1300	1800	32	300	64	0	32	0	384	80	0	0	0	0		0	1	0	320
8170	scripts\Map\法王窟\ai\智慧王\法王窟智慧王.lua	1	1300	1800	32	300	64	0	32	0	384	80	0	0	0	0		0	1	0	320
8316	scripts\Map\法王窟\ai\青翼蝠王\区域总控.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
8317	scripts/ai/DungeonStandardAI.lua	1	3000	3000	0	3000	64	0	32	300	200	80	0	0	0	0		1	1	0	320
8687	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	0	0	9999999	0	30	0	0		0	0	0	320
8688	scripts\Map\法王窟\ai\谢渊毛毛战三王表现\法王窟广场表现.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		0	0	0	320
8770	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
8771	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	1	320
8772	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	1	320
8793	scripts\Map\法王窟\ai\白眉鼠王\鼠王总控.lua	0	768	768	32	256	64	960	32	100	0	80	0	30	0	0		1	0	0	320
8946	scripts\Map\法王窟\ai\智慧王\智慧王总控.lua	1	1024	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
8986	scripts/ai/StandardAI.lua	1	1024	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
9309	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
9310	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
9311	scripts/ai/StandardAI.lua	1	800	800	0	800	64	0	32	0	384	80	0	0	0	0		1	0	1	320
9314	scripts/ai/StandardAI.lua	1	800	800	0	800	64	0	32	0	384	80	0	0	0	0		1	0	1	320
9750	scripts/ai/CommonFoolish.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
9751	scripts\Map\法王窟\ai\白眉鼠王\白眉老鼠.lua	1	1300	1800	32	250	64	960	32	0	384	80	0	30	0	0		0	0	0	320
9754	scripts\Map\法王窟\ai\白眉鼠王\烈火开山雷.lua	1	768	768	32	256	0	0	0	0	0	80	0	0	0	0		1	0	0	320
9992	scripts\Map\法王窟\ai\白眉鼠王\鼠王技能释放总控.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
11260	scripts\Map\法王窟\ai\白眉鼠王\技能表现NPC鼠王.lua	1	1536	1536	32	256	64	0	32	0	0	80	0	0	0	0		1	1	1	320
11262	scripts\Map\法王窟\ai\白眉鼠王\技能表现NPC鼠王.lua	1	900	900	32	256	0	0	32	0	0	80	0	0	0	0		1	1	0	320
11273	scripts/ai/StandardAI.lua	0	768	768	32	0	64	960	32	0	0	80	0	30	0	0		1	0	0	320
11616	scripts\Map\法王窟\ai\青翼蝠王\蝠王总控.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
11648	scripts\Map\法王窟\ai\智慧王\智慧王区域总控.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
11665	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
11959	scripts/ai/CommonFoolish.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
12027	scripts/ai/StandardAI.lua	0	150	150	32	0	64	960	32	0	0	80	0	30	0	0		0	0	0	320
12221	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12269	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
12270	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12271	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12272	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12273	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12274	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	0	30	0	0		1	0	1	320
12275	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12276	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12277	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12278	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
12453	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12454	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12455	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12456	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
12457	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12458	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12459	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12460	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12461	scripts/ai/StandardAI.lua	1	800	800	0	800	64	0	32	512	384	80	0	0	0	0		1	0	1	320
12462	scripts/ai/StandardAI.lua	1	800	800	0	800	64	0	32	0	384	80	0	0	0	0		0	0	1	320
12463	scripts/ai/StandardAI.lua	1	800	800	0	800	64	0	32	0	384	80	0	0	0	0		1	0	1	320
12464	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12465	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12466	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12467	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12588	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12602	scripts/ai/DungeonStandardAI.lua	0	900	900	0	900	64	0	32	300	200	80	0	0	0	0		1	1	0	320
12952	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12955	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
12956	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
