AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
14129	scripts\Map\英雄法王窟\ai\白眉鼠王\法王窟鼠王.lua	1	1300	1800	32	300	64	0	32	0	384	80	0	0	0	0		0	1	0	320
14135	scripts\Map\英雄法王窟\ai\青翼蝠王\二号青翼蝠王.lua	1	1300	1800	32	300	64	0	32	0	384	80	0	0	0	0		0	1	0	320
14136	scripts\Map\英雄法王窟\ai\智慧王\法王窟智慧王.lua	1	1300	1800	32	300	64	0	32	0	384	80	0	0	0	0		0	1	0	320
14137	scripts\Map\英雄法王窟\ai\白眉鼠王\白眉老鼠.lua	1	1300	1800	32	250	64	960	32	0	384	80	0	30	0	0		0	0	0	320
14158	scripts\Map\英雄法王窟\ai\谢渊毛毛战三王表现\法王窟广场表现.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		0	0	0	320
14159	scripts/ai/CommonFoolish.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
14160	scripts/ai/StandardAI.lua	0	768	768	32	0	64	960	32	0	0	80	0	30	0	0		1	0	0	320
14161	scripts/ai/CommonFoolish.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
14162	scripts/ai/StandardAI.lua	1	900	900	0	900	64	0	32	0	384	80	0	0	0	0		1	0	1	320
14163	scripts/ai/StandardAI.lua	1	900	900	0	900	64	0	32	0	384	80	0	0	0	0		1	0	1	320
14164	scripts\Map\英雄法王窟\ai\白眉鼠王\技能表现NPC鼠王.lua	1	900	900	32	256	0	0	32	0	0	80	0	0	0	0		1	1	0	320
14165	scripts/ai/DungeonStandardAI.lua	1	3000	3000	0	3000	64	0	32	300	200	80	0	0	0	0		1	1	0	320
14166	scripts\Map\英雄法王窟\ai\白眉鼠王\技能表现NPC鼠王.lua	1	1536	1536	32	256	64	0	32	0	0	80	0	0	0	0		1	1	1	320
14167	scripts/ai/StandardAI.lua	1	900	900	0	900	64	0	32	512	384	80	0	0	0	0		1	0	1	320
14168	scripts/ai/StandardAI.lua	1	900	900	0	900	64	0	32	0	384	80	0	0	0	0		0	0	1	320
14169	scripts/ai/StandardAI.lua	1	900	900	0	900	64	0	32	0	384	80	0	0	0	0		1	0	1	320
14170	scripts/ai/StandardAI.lua	0	900	900	0	900	64	0	32	0	384	80	0	0	0	0		1	0	0	320
14171	scripts/ai/StandardAI.lua	0	900	900	0	900	64	0	32	0	384	80	0	0	0	0		1	0	0	320
14172	scripts\Map\英雄法王窟\ai\白眉鼠王\鼠王总控.lua	0	768	768	32	256	64	960	32	100	0	80	0	30	0	0		1	0	0	320
14173	scripts\Map\英雄法王窟\ai\白眉鼠王\鼠王技能释放总控.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
14174	scripts\Map\英雄法王窟\ai\青翼蝠王\蝠王总控.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
14175	scripts\Map\英雄法王窟\ai\青翼蝠王\区域总控.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
14176	scripts\Map\英雄法王窟\ai\智慧王\智慧王总控.lua	1	1024	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
14177	scripts\Map\英雄法王窟\ai\智慧王\智慧王区域总控.lua	0	768	768	32	256	64	960	32	512	0	80	0	30	0	0		1	0	0	320
14178	scripts/ai/StandardAI.lua	1	900	900	0	900	64	960	32	0	384	80	0	30	0	0		1	0	1	320
14272	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
14380	scripts\Map\法王窟\ai\白眉鼠王\白眉老鼠技能控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
