AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
61639	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
61640	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	1	320
61651	scripts/Map/¸¡Çðµº/ai/Ð¡ÄñµÈÍæ¼Ò.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
61652	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
61778	scripts/Map/¸¡Çðµº/ai/´óÄñ´øµ½Ê¯¶´.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
61779	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
61781	scripts/ai/StandardAI.lua	1	64	64	32	64	64	0	32	512	384	80	0	0	0	0		1	0	1	320
61963	scripts\Map\¸¡Çðµº\ai\Ð¡¾ç³¡1ºÅ.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
61971	scripts/Map/¸¡Çðµº/ai/¾ÈÄñ.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
62107	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
62108	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
62549	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
62551	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
62564	scripts/Map/¸¡Çðµº/ai/´ò´óÄñ.lua	1	1024	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
62620	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	512	384	80	0	0	0	0		1	1	1	320
62626	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
62627	scripts/ai/StandardAI.lua	1	1280	1280	32	960	64	0	32	0	384	80	0	0	0	0		1	0	1	320
62636	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
62638	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
62640	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
62641	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
62661	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
62749	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
