AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
6929	scripts\Map\十八弯_高老庄\ai\百姓.lua	0	768	768	32	256	64	960	32	0	384	80	0	30	0	0		1	0	0	320
6930	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
6931	scripts\Map\十八弯_高老庄\ai\土匪.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
6932	scripts\Map\十八弯_高老庄\ai\土匪.lua	1	1024	1024	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
6933	scripts\Map\十八弯_高老庄\ai\土匪.lua	1	1024	1024	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
6934	scripts\Map\十八弯_高老庄\ai\土匪.lua	1	1024	1024	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
6935	scripts\Map\十八弯_高老庄\ai\土匪.lua	0	1024	1024	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
6936	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
6937	scripts\Map\十八弯_高老庄\ai\百姓.lua	0	768	768	32	256	64	960	32	0	384	80	0	30	0	0		1	0	0	320
6938	scripts\Map\十八弯_高老庄\ai\百姓.lua	0	768	768	32	256	64	960	32	0	384	80	0	30	0	0		1	0	0	320
6939	scripts\Map\十八弯_高老庄\ai\百姓.lua	0	768	768	32	256	64	960	32	0	384	80	0	30	0	0		1	0	0	320
6940	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
6941	scripts\Map\十八弯_高老庄\ai\百姓.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
6942	scripts\Map\十八弯_高老庄\ai\土匪.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
6943	scripts\Map\十八弯_高老庄\ai\土匪.lua	1	1024	1024	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
6944	scripts\Map\十八弯_高老庄\ai\土匪.lua	0	1024	1024	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
6945	scripts\Map\十八弯_高老庄\ai\土匪.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
6946	scripts\Map\十八弯_高老庄\ai\百姓.lua	0	768	768	32	256	64	960	32	0	384	80	0	30	0	0		1	0	0	320
6988	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	384	80	0	30	0	0		1	0	0	320
