AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
60704	scripts/Map/英雄狼牙堡_狼神殿/ai/乌索/乌索.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
60705	scripts/Map/英雄狼牙堡_狼神殿/ai/乌索/化骨吞噬.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
60706	scripts/Map/英雄狼牙堡_狼神殿/ai/乌索/粘性水铁炮.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
60707	scripts/Map/英雄狼牙堡_狼神殿/ai/史思明/史思明.lua	0	1280	1280	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60708	scripts/Map/英雄狼牙堡_狼神殿/ai/乌索/毒腺骤雨.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
60709	scripts/Map/英雄狼牙堡_狼神殿/ai/史思明/十方藏杀.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60710	scripts/Map/英雄狼牙堡_狼神殿/ai/史思明/AOE载体.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
60711	scripts/Map/英雄狼牙堡_狼神殿/ai/乌索/乌索范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60712	scripts/Map/英雄狼牙堡_狼神殿/ai/乌索/乌索技能控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60713	scripts/Map/英雄狼牙堡_狼神殿/ai/乌索/空投减速.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
60714	scripts\Map\英雄狼牙堡_狼神殿\ai\史思明\史思明通用无敌.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60715	scripts/ai/DungeonStandardAI.lua	1	4000	4000	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
60716	scripts/Map/英雄狼牙堡_狼神殿/ai/乌索/旋石.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
60717	scripts/Map/英雄狼牙堡_狼神殿/ai/乌索/淤泥地.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
60718	scripts/Map/狼牙堡_狼神殿/ai/靳空明/靳空明.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
60719	scripts/Map/狼牙堡_狼神殿/ai/靳空明/枪盾兵.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
60720	scripts/Map/狼牙堡_狼神殿/ai/靳空明/弓箭手.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
60721	scripts/Map/狼牙堡_狼神殿/ai/靳空明/狼狗.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
60722	scripts/Map/狼牙堡_狼神殿/ai/靳空明/枪盾兵阵总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60723	scripts/Map/狼牙堡_狼神殿/ai/靳空明/范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60724	scripts/Map/英雄狼牙堡_狼神殿/ai/周边/毛毛与可人.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60725	scripts/Map/狼牙堡_狼神殿/ai/靳空明/火狼箭雨.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
60726	scripts/Map/英雄狼牙堡_狼神殿/ai/史思明/血奴.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60727	scripts/Map/英雄狼牙堡_狼神殿/ai/史思明/迷乱之奴.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60728	scripts/ai/DungeonStandardAI.lua	1	1500	1500	32	256	64	0	32	512	384	80	0	0	0	0		1	1	1	320
60729	scripts/Map/英雄狼牙堡_狼神殿/ai/史思明/史思明技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60730	scripts/Map/英雄狼牙堡_狼神殿/ai/史思明/史思明范围总控1.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60731	scripts/Map/英雄狼牙堡_狼神殿/ai/史思明/史思明范围总控2.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60732	scripts/Map/英雄狼牙堡_狼神殿/ai/史思明/史思明阶段总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60733	scripts/Map/英雄狼牙堡_狼神殿/ai/史思明/周期召唤血奴.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60734	scripts/Map/英雄狼牙堡_狼神殿/ai/史思明/周期召唤狂乱巨鳄.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60735	scripts/Map/英雄狼牙堡_狼神殿/ai/史思明/血奴.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60736	scripts/Map/英雄狼牙堡_狼神殿/ai/周边/空.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60737	scripts/Map/英雄狼牙堡_狼神殿/ai/周边/曲云与德夯.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60738	scripts/Map/英雄狼牙堡_狼神殿/ai/周边/空.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60739	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60740	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60741	scripts/Map/英雄狼牙堡_狼神殿/ai/周边/狼牙宦官.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60742	scripts/Map/英雄狼牙堡_狼神殿/ai/周边/狼牙宦官.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60743	scripts/Map/英雄狼牙堡_狼神殿/ai/周边/恐惧的女子.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60744	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
60745	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
