AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
57259	scripts\Map\狼牙堡_燕然峰\ai\石斑\狼牙弓手.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
57262	scripts\Map\狼牙堡_燕然峰\ai\石斑\石斑.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
57264	scripts\Map\狼牙堡_燕然峰\ai\石斑\火石.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
57275	scripts\Map\狼牙堡_燕然峰\ai\石斑\技能释放虚拟体.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
57276	scripts\Map\狼牙堡_燕然峰\ai\石斑\一阶段刷弓手控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
57277	scripts\Map\狼牙堡_燕然峰\ai\石斑\阶段控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
57278	scripts\Map\狼牙堡_燕然峰\ai\石斑\总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
57279	scripts\Map\狼牙堡_燕然峰\ai\石斑\石斑技能控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
57287	scripts\Map\狼牙堡_燕然峰\ai\石斑\飞石.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
57297	scripts\Map\狼牙堡_燕然峰\ai\石斑\修理机甲.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
57298	scripts\Map\狼牙堡_燕然峰\ai\石斑\激光发射器.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
