AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
105824	scripts\Map\黑山林海_雷域大泽\ai\4号_血蛊巢心\血蛊巢心.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
105830	scripts/Map/黑山林海_雷域大泽/ai/3号_悉达罗摩/悉达罗摩.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
105851	scripts/Map/黑山林海_雷域大泽/ai/3号_悉达罗摩/悉达罗摩范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
105852	scripts/Map/黑山林海_雷域大泽/ai/3号_悉达罗摩/悉达罗摩技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
105853	scripts/Map/黑山林海_雷域大泽/ai/3号_悉达罗摩/技能释放Npc.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
105855	scripts\Map\黑山林海_雷域大泽\ai\2号_桑乔\桑乔.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
105937	scripts\Map\黑山林海_雷域大泽\ai\2号_桑乔\大圈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
105938	scripts\Map\黑山林海_雷域大泽\ai\2号_桑乔\小圈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
105940	scripts\Map\黑山林海_雷域大泽\ai\2号_桑乔\蜘蛛网.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
105978	scripts\Map\黑山林海_雷域大泽\ai\2号_桑乔\蜘蛛茧.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
105988	scripts/Map/黑山林海_雷域大泽/ai/3号_悉达罗摩/毒雾与植物.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
105993	scripts/Map/黑山林海_雷域大泽/ai/乌蒙贵/乌蒙贵.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
105994	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
105996	scripts\Map\黑山林海_雷域大泽\ai\4号_血蛊巢心\血蛊巢心范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
105997	scripts\Map\黑山林海_雷域大泽\ai\4号_血蛊巢心\血蛊巢心技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
105998	scripts\Map\黑山林海_雷域大泽\ai\4号_血蛊巢心\尸腐秽血草.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106024	scripts/Map/黑山林海_雷域大泽/ai/2号_桑乔/矩形环刃.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
106067	scripts/Map/黑山林海_雷域大泽/ai/1号_粉尘孢花/粉尘孢花本体.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
106068	scripts/Map/黑山林海_雷域大泽/ai/1号_粉尘孢花/毒咬.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
106070	scripts\Map\黑山林海_雷域大泽\ai\4号_血蛊巢心\毒蛊血露.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106072	scripts\Map\黑山林海_雷域大泽\ai\1号_粉尘孢花\毒雨.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
106074	scripts\Map\黑山林海_雷域大泽\ai\4号_血蛊巢心\摄魄鬼虫王.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
106081	scripts\Map\黑山林海_雷域大泽\ai\1号_粉尘孢花\地刺.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
106082	scripts\Map\黑山林海_雷域大泽\ai\4号_血蛊巢心\蛊血.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
