AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
66817	scripts/Map/凌雪阁_玄鹤别院/ai/3号_江潮/江潮.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
66818	scripts/Map/凌雪阁_玄鹤别院/ai/3号_江潮/江潮技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66819	scripts/Map/凌雪阁_玄鹤别院/ai/3号_江潮/江潮范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66820	scripts/Map/凌雪阁_玄鹤别院/ai/3号_江潮/火光.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66837	scripts/Map/凌雪阁_玄鹤别院/ai/2号_慧枯/慧枯.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
66838	scripts/Map/凌雪阁_玄鹤别院/ai/2号_慧枯/慧枯范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66839	scripts/Map/凌雪阁_玄鹤别院/ai/2号_慧枯/牢房总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66840	scripts/Map/凌雪阁_玄鹤别院/ai/1号_秦高相/秦高相.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
66841	scripts/Map/凌雪阁_玄鹤别院/ai/1号_秦高相/秦高相范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66842	scripts/Map/凌雪阁_玄鹤别院/ai/1号_秦高相/秦高相技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66843	scripts/Map/凌雪阁_玄鹤别院/ai/1号_秦高相/护卫.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
66844	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66845	scripts\Map\凌雪阁_玄鹤别院\ai\周边\巡逻NPC.lua	1	1536	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
66846	scripts/Map/凌雪阁_玄鹤别院/ai/周边/通用对话AI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66882	scripts/Map/凌雪阁_玄鹤别院/ai/1号_秦高相/家具.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66883	scripts/Map/凌雪阁_玄鹤别院/ai/1号_秦高相/家具.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66917	scripts/Map/凌雪阁_玄鹤别院/ai/周边/通用对话AI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
66966	scripts/Map/凌雪阁_玄鹤别院/ai/2号_慧枯/慧枯技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
67004	scripts/Map/凌雪阁_玄鹤别院/ai/周边/内层总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
67320	scripts/Map/凌雪阁_玄鹤别院/ai/周边/通用对话AI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
67321	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
67492	scripts\Map\凌雪阁_玄鹤别院\ai\周边\门口引路.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
67493	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
67590	scripts/Map/凌雪阁_玄鹤别院/ai/周边/话痨NPC.lua	1	1536	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
67645	scripts/Map/凌雪阁_玄鹤别院/ai/周边/剧情总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
67646	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
67651	scripts/Map/凌雪阁_玄鹤别院/ai/周边/疯癫的工匠.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
67653	scripts/Map/凌雪阁_玄鹤别院/ai/周边/通用对话AI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
67699	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
67910	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
