AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
1157627905	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	0	80	12	30	0	0		1	0	0	
1157627906	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	16	0	0	0		1	1	1	
1157627907	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	0	80	14	30	0	0		1	0	0	
1157627908	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	13	0	0	0		1	1	1	
1157627909	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	0	80	13	30	0	0		1	0	0	
1157627910	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	15	0	0	0		1	1	1	
1157627911	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	17	0	0	0		1	1	1	
1157627912	scripts/ai/StandardAI.lua	0	1536	768	32	1536	64	960	32	512	0	80	17	30	0	0		1	0	0	
1157627913	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	19	0	0	0		1	1	1	
1157627914	scripts/ai/StandardAI.lua	0	1536	768	32	1536	64	960	32	512	0	80	19	30	0	0		1	0	0	
1157627915	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	0	80	17	30	0	0		1	0	0	
1157627916	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	18	0	0	0		1	1	1	
1157627917	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	0	80	22	30	0	0		1	0	0	
1157627918	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	0	80	21	30	0	0		1	0	0	
1157627919	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	0	80	24	30	0	0		1	0	0	
1157627920	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	0	80	20	30	0	0		1	0	0	
1157627921	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	20	0	0	0		1	1	1	
1157627922	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	0	80	23	30	0	0		1	0	0	
1157627923	scripts/ai/DungeonStandardAI.lua	1	768	1536	32	256	64	0	32	0	384	80	28	0	0	0		1	1	1	
1157627924	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	26	0	0	0		1	1	1	
1157627925	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	25	0	0	0		1	1	1	
1157627926	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	27	0	0	0		1	1	1	
1157627927	scripts\Map\特殊武器\ai\少林特殊武器\飞轮.lua	0	768	768	32	256	64	0	32	0	384	80	49	0	0	0		1	0	0	
1157627928	scripts\Map\特殊武器\ai\少林特殊武器\飞轮.lua	0	768	768	32	256	64	0	32	0	384	80	50	0	0	0		1	0	0	
1157627929	scripts\Map\特殊武器\ai\少林特殊武器\飞轮.lua	0	768	768	32	256	64	0	32	0	384	80	43	0	0	0		1	0	0	
1157627930	scripts\Map\特殊武器\ai\少林特殊武器\飞轮.lua	0	768	768	32	256	64	0	32	0	384	80	44	0	0	0		1	0	0	
1157627931	scripts\Map\特殊武器\ai\少林特殊武器\飞轮.lua	0	768	768	32	256	64	0	32	0	384	80	45	0	0	0		1	0	0	
1157627932	scripts\Map\特殊武器\ai\少林特殊武器\飞轮.lua	0	768	768	32	256	64	0	32	0	384	80	46	0	0	0		1	0	0	
1157627933	scripts\Map\特殊武器\ai\少林特殊武器\飞轮.lua	0	768	768	32	256	64	0	32	0	384	80	47	0	0	0		1	0	0	
1157627934	scripts\Map\特殊武器\ai\少林特殊武器\飞轮.lua	0	768	768	32	256	64	0	32	0	384	80	48	0	0	0		1	0	0	
