AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
-2063597567	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	55	0	0	0		1	0	0	
-2063597566	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	256	128	32	47	0	0	0		1	0	0	
-2063597565	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	256	128	32	48	0	0	0		1	0	0	
-2063597564	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	256	128	32	49	0	0	0		1	0	0	
-2063597563	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	256	128	32	50	0	0	0		1	0	0	
-2063597562	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	57	0	0	0		1	0	0	
-2063597561	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	56	0	0	0		1	0	0	
-2063597560	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	52	0	0	0		1	0	0	
-2063597559	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	53	0	0	0		1	0	0	
-2063597558	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	27	0	2	0		1	1	1	
-2063597557	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	35	0	2	0		1	1	1	
-2063597556	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	33	0	2	0		1	1	1	
-2063597555	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	31	0	1	0		1	1	1	
-2063597554	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	29	0	2	0		1	1	1	
-2063597553	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	28	0	2	0		1	1	1	
-2063597552	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	30	0	1	0		1	1	1	
-2063597551	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	28	0	1	0		1	1	1	
-2063597550	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	35	0	1	0		1	1	1	
-2063597549	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	33	0	1	0		1	1	1	
-2063597548	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	31	0	2	0		1	1	1	
-2063597547	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	29	0	1	0		1	1	1	
-2063597546	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	30	0	2	0		1	1	1	
-2063597545	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	27	0	1	0		1	1	1	
-2063597544	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	34	0	2	0		1	1	1	
-2063597543	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	34	0	1	0		1	1	1	
-2063597542	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	36	0	1	0		1	1	1	
-2063597541	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	36	0	2	0		1	1	1	
-2063597540	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	32	0	2	0		1	1	1	
-2063597539	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	32	0	1	0		1	1	1	
-2063597538	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	37	0	3	0		1	1	1	
-2063597537	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	41	0	2	0		1	1	1	
-2063597536	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	40	0	2	0		1	1	1	
-2063597535	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	38	0	3	0		1	1	1	
-2063597534	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	38	0	2	0		1	1	1	
-2063597533	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	39	0	2	0		1	1	1	
-2063597532	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	37	0	2	0		1	1	1	
-2063597531	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	37	0	1	0		1	1	1	
-2063597530	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	39	0	1	0		1	1	1	
-2063597529	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	38	0	1	0		1	1	1	
-2063597528	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	40	0	1	0		1	1	1	
-2063597527	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	24	0	0	0		1	1	1	
-2063597526	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	23	0	0	0		1	1	1	
-2063597525	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	25	0	0	0		1	1	1	
-2063597524	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	26	0	0	0		1	1	1	
-2063597523	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	22	0	0	0		1	1	1	
-2063597522	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	21	0	0	0		1	1	1	
-2063597521	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	45	0	2	0		1	1	1	
-2063597520	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	45	0	1	0		1	1	1	
-2063597519	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	46	0	1	0		1	1	1	
-2063597518	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	46	0	2	0		1	1	1	
-2063597517	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	51	0	2	0		1	1	1	
-2063597516	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	51	0	1	0		1	1	1	
-2063597515	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	54	0	2	0		1	1	1	
-2063597514	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	54	0	1	0		1	1	1	
-2063597513	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	44	0	1	0		1	1	1	
-2063597512	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	43	0	1	0		1	1	1	
-2063597511	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	42	0	1	0		1	1	1	
-2063597510	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	44	0	3	0		1	1	1	
-2063597509	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	43	0	3	0		1	1	1	
-2063597508	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	42	0	3	0		1	1	1	
-2063597507	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	44	0	2	0		1	1	1	
-2063597506	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	43	0	2	0		1	1	1	
-2063597505	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	42	0	2	0		1	1	1	
-2063597504	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	44	0	4	0		1	1	1	
-2063597503	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	43	0	4	0		1	1	1	
-2063597502	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	42	0	4	0		1	1	1	
