AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
-218103807	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	39	0	1	0		1	0	0	
-218103806	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	35	0	1	0		1	0	0	
-218103805	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	8	0	1	0		1	0	0	
-218103804	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	7	0	1	0		1	0	0	
-218103803	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	12	0	1	0		1	0	0	
-218103802	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	20	0	1	0		1	0	1	
-218103801	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	24	0	1	0		1	0	1	
-218103800	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	27	0	1	0		1	0	1	
-218103799	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	2	0	1	0		1	0	0	
-218103798	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	15	0	1	0		1	0	1	
-218103797	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	25	0	1	0		1	0	1	
-218103796	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	22	0	1	0		1	0	1	
-218103795	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	23	0	1	0		1	0	1	
-218103794	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	1	0		1	0	0	
-218103793	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	3	0		1	0	0	
-218103792	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	2	0		1	0	0	
-218103791	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	1	0		1	0	0	
-218103790	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	2	0		1	0	0	
-218103789	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	3	0		1	0	0	
-218103788	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	6	0	1	0		1	0	0	
-218103787	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	6	0	2	0		1	0	0	
-218103786	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	6	0	3	0		1	0	0	
-218103785	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	5	0	1	0		1	0	0	
-218103784	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	5	0	3	0		1	0	0	
-218103783	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	5	0	2	0		1	0	0	
-218103782	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	3	0		1	0	0	
-218103781	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	1	0		1	0	0	
-218103780	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	2	0		1	0	0	
-218103779	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	10	0	1	0		1	0	0	
-218103778	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	11	0	1	0		1	0	0	
-218103777	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	1	0	1	0		0	0	0	
-218103776	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	21	0	1	0		1	0	1	
-218103775	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	28	0	1	0		1	0	1	
-218103774	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	26	0	1	0		1	0	1	
-218103773	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	13	0	1	0		1	0	1	
-218103772	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	29	0	1	0		1	0	1	
-218103771	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	14	0	1	0		1	0	0	
-218103770	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	19	0	1	0		1	0	1	
-218103769	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	16	0	1	0		1	0	1	
-218103768	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	17	0	1	0		1	0	1	
-218103767	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	18	0	1	0		1	0	1	
-218103766	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	30	0	1	0		0	0	0	
-218103765	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	31	0	1	0		1	0	0	
-218103764	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	31	0	2	0		1	0	0	
-218103763	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	31	0	3	0		1	0	0	
-218103762	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	32	0	1	0		1	0	0	
-218103761	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	37	0	1	0		1	0	0	
-218103760	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	69	0	1	0		0	0	0	
-218103759	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	38	0	1	0		1	0	0	
