AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
1677721601	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	7	0	0	0		1	0	0	
1677721602	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	6	0	0	0		1	0	0	
1677721603	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	1	0	0	0		1	0	0	
1677721604	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	0	0		1	0	0	
1677721605	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	5	0	0	0		1	0	0	
1677721606	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	2	0	0	0		1	0	0	
1677721607	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	0	0		1	0	0	
1677721608	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	8	0	0	0		1	0	0	
1677721609	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	10	0	0	0		0	0	0	
1677721610	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	11	0	0	0		0	0	0	
1677721611	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	
1677721612	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	61	0	0	0		1	0	1	
1677721613	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	0	0		1	0	0	
1677721614	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	15	0	0	0		1	0	0	
1677721615	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	14	0	0	0		1	0	1	
1677721616	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	13	0	0	0		1	0	1	
1677721617	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	192	0	0	0		1	0	0	
1677721618	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	16	0	0	0		1	0	0	
1677721619	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	52	0	0	0		0	0	0	
