AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
239075329	scripts/Map/北天药宗/ai/解家弟子_反潜入.lua	1	384	384	0	384	64	0	32	0	384	80	19	0	1	0		1	0	1	
239075330	scripts/Map/北天药宗/ai/解家弟子_反潜入.lua	1	384	384	0	384	64	0	32	0	384	80	17	0	1	0		1	0	1	
239075331	scripts/Map/北天药宗/ai/解家弟子_反潜入.lua	1	384	384	0	384	64	0	32	0	384	80	20	0	1	0		1	0	1	
239075332	scripts/Map/北天药宗/ai/解家弟子_反潜入.lua	1	384	384	0	384	64	0	32	0	384	80	20	0	2	0		1	0	1	
239075333	scripts/Map/北天药宗/ai/解家弟子_反潜入.lua	1	384	384	0	384	64	0	32	0	384	80	16	0	1	0		1	0	1	
239075334	scripts/Map/北天药宗/ai/解家弟子_反潜入.lua	1	384	384	0	384	64	0	32	0	384	80	21	0	1	0		1	0	1	
239075335	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	40	0	0	0		1	0	0	
239075336	scripts/Map/北天药宗/ai/解家弟子_反潜入.lua	1	384	384	0	384	64	0	32	0	384	80	18	0	1	0		1	0	1	
239075337	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	67	0	1	0		1	0	0	
239075338	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	67	0	2	0		1	0	0	
239075339	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	26	0	0	0		1	0	0	
239075340	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	27	0	2	0		1	0	0	
239075341	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	27	0	1	0		1	0	0	
239075342	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	25	0	2	0		1	0	0	
239075343	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	28	0	0	0		1	0	0	
239075344	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	25	0	3	0		1	0	0	
239075345	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	39	0	0	0		1	0	0	
239075346	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	41	0	0	0		1	0	0	
239075347	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	42	0	0	0		1	0	0	
239075348	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	42	0	2	0		1	0	0	
239075349	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	38	0	0	0		1	0	0	
239075350	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	43	0	0	0		1	0	0	
239075351	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	44	0	0	0		1	0	0	
239075352	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	60	0	0	0		1	0	0	
239075353	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	48	0	2	0		1	0	0	
239075354	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	49	0	1	0		1	0	0	
239075355	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	49	0	2	0		1	0	0	
239075356	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	50	0	0	0		1	0	0	
239075357	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	51	0	0	0		1	0	0	
239075358	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	52	0	0	0		1	0	0	
239075359	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	53	0	0	0		1	0	0	
239075360	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	56	0	1	0		1	0	0	
239075361	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	56	0	2	0		1	0	0	
239075362	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	57	0	1	0		1	0	0	
239075363	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	57	0	2	0		1	0	0	
239075364	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	48	0	1	0		1	0	0	
239075365	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	36	0	0	0		1	0	0	
239075366	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	37	0	0	0		1	0	0	
239075367	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	2	0	2	0		1	0	1	
239075368	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	2	0	3	0		1	0	1	
239075369	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	7	0	1	0		1	0	1	
239075370	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	7	0	2	0		1	0	1	
239075371	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	7	0	3	0		1	0	1	
239075372	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	22	0	1	0		1	0	1	
239075373	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	22	0	2	0		1	0	1	
239075374	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	22	0	3	0		1	0	1	
239075375	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	54	0	2	0		1	0	1	
239075376	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	54	0	3	0		1	0	1	
239075377	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	3	0	2	0		1	0	1	
239075378	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	3	0	3	0		1	0	1	
239075379	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	4	0	2	0		1	0	1	
239075380	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	4	0	3	0		1	0	1	
239075381	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	24	0	2	0		1	0	1	
239075382	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	24	0	3	0		1	0	1	
239075383	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	55	0	3	0		1	0	1	
239075384	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	55	0	2	0		1	0	1	
239075385	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	5	0	2	0		1	0	1	
239075386	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	5	0	3	0		1	0	1	
239075387	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	6	0	2	0		1	0	1	
239075388	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	6	0	3	0		1	0	1	
239075389	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	23	0	2	0		1	0	1	
239075390	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	23	0	3	0		1	0	1	
239075391	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	58	0	0	0		1	0	0	
