AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
-989855743	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	10	0	1	0		1	0	0	
-989855742	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	1	0		1	0	0	
-989855741	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	2	0	1	0		1	0	0	
-989855740	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	2	0	2	0		1	0	0	
-989855739	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	2	0		1	0	0	
-989855738	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	1	0		1	0	0	
-989855737	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	3	0		1	0	0	
-989855736	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	2	0		1	0	0	
-989855735	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	1	0		1	0	0	
-989855734	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	5	0	1	0		1	0	0	
-989855733	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	7	0	3	0		1	0	0	
-989855732	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	7	0	2	0		1	0	0	
-989855731	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	11	0	1	0		1	0	0	
-989855730	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	17	0	2	0		1	0	0	
-989855729	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	16	0	3	0		1	0	0	
-989855728	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	16	0	2	0		1	0	0	
-989855727	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	14	0	2	0		1	0	0	
-989855726	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	14	0	1	0		1	0	0	
