AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
-1157627903	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	1	0	1	0		1	1	0	
-1157627902	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	1	0	2	0		1	1	0	
-1157627901	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	1	0	3	0		1	1	0	
-1157627900	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	2	0	1	0		1	1	0	
-1157627899	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	2	0	2	0		1	1	0	
-1157627898	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	2	0	3	0		1	1	0	
-1157627897	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	3	0	1	0		1	1	0	
-1157627896	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	3	0	2	0		1	1	0	
-1157627895	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	4	0	1	0		1	1	0	
-1157627894	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	4	0	2	0		1	1	0	
-1157627893	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	5	0	1	0		1	1	0	
-1157627892	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	6	0	1	0		1	1	0	
-1157627891	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	7	0	2	0		1	1	1	
-1157627890	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	8	0	2	0		1	1	1	
-1157627889	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	9	0	1	0		1	1	1	
-1157627888	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	10	0	1	0		0	1	0	
-1157627887	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	10	0	2	0		0	1	0	
-1157627886	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	10	0	3	0		0	1	0	
-1157627885	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	11	0	1	0		1	1	1	
-1157627884	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	11	0	2	0		1	1	1	
-1157627883	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	11	0	3	0		1	1	1	
-1157627882	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	12	0	1	0		1	1	1	
-1157627881	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	12	0	2	0		1	1	1	
-1157627880	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	12	0	3	0		1	1	1	
-1157627879	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	13	0	1	0		1	1	1	
-1157627878	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	13	0	2	0		1	1	1	
-1157627877	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	13	0	3	0		1	1	1	
-1157627876	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	14	0	1	0		1	1	1	
-1157627875	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	14	0	2	0		1	1	1	
-1157627874	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	14	0	3	0		1	1	1	
-1157627873	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	15	0	1	0		1	1	1	
-1157627872	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	15	0	2	0		1	1	1	
-1157627871	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	15	0	3	0		1	1	1	
-1157627870	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	17	0	2	0		1	1	1	
-1157627869	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	16	0	2	0		1	1	1	
-1157627868	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	17	0	1	0		1	1	1	
-1157627867	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	16	0	1	0		1	1	1	
-1157627866	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	18	0	1	0		1	1	1	
-1157627865	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	7	0	1	0		1	1	1	
-1157627864	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	8	0	1	0		1	1	1	
-1157627863	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	19	0	1	0		1	1	1	
-1157627862	scripts/ai/DungeonStandardAI.lua	1	1536	1536	32	256	64	0	32	0	384	80	19	0	2	0		1	1	1	
