AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
-1543503871	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	1	0	0	0		1	0	1	
-1543503870	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	13	0	0	0		1	0	1	
-1543503869	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	2	0	0	0		1	0	1	
-1543503868	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	21	0	0	0		1	0	1	
-1543503867	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	3	0	0	0		1	0	1	
-1543503866	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	20	0	0	0		1	0	1	
-1543503865	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	17	0	0	0		1	0	1	
-1543503864	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	16	0	0	0		1	0	1	
-1543503863	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	15	0	0	0		1	0	1	
-1543503862	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	14	0	0	0		1	0	1	
-1543503861	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	18	0	0	0		1	0	1	
-1543503860	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	22	0	0	0		1	0	1	
-1543503859	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	5	0	0	0		1	0	1	
-1543503858	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	6	0	0	0		1	0	1	
-1543503857	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	8	0	0	0		1	0	1	
-1543503856	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	19	0	0	0		1	0	1	
-1543503855	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	7	0	0	0		1	0	1	
-1543503854	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	4	0	0	0		1	0	1	
-1543503853	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	9	0	0	0		1	0	1	
-1543503852	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	10	0	0	0		1	0	1	
-1543503851	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	12	0	0	0		1	0	1	
-1543503850	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	11	0	0	0		1	0	1	
-1543503849	scripts/ai/DungeonStandardAI.lua	1	1024	768	32	256	64	0	32	0	384	80	33	0	0	0		1	1	1	
-1543503848	scripts/ai/DungeonStandardAI.lua	1	1024	768	32	256	64	0	32	0	384	80	34	0	0	0		1	1	1	
-1543503847	scripts/ai/DungeonStandardAI.lua	1	1024	768	32	256	64	0	32	0	384	80	37	0	0	0		1	1	1	
-1543503846	scripts/ai/DungeonStandardAI.lua	1	1024	768	32	256	64	0	32	0	384	80	35	0	0	0		1	1	1	
-1543503845	scripts/ai/DungeonStandardAI.lua	1	1024	768	32	256	64	0	32	0	384	80	36	0	0	0		1	1	1	
-1543503844	scripts/ai/DungeonStandardAI.lua	1	128	64	32	256	64	0	32	0	384	80	43	0	1	0		1	1	1	
-1543503843	scripts/ai/DungeonStandardAI.lua	1	128	64	32	256	64	0	32	0	384	80	44	0	1	0		1	1	1	
-1543503842	scripts/ai/DungeonStandardAI.lua	1	128	64	32	256	64	0	32	0	384	80	45	0	1	0		1	1	1	
