AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
-880803839	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	1	0	1	0		1	0	0	
-880803838	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	2	0	1	0		1	0	0	
-880803837	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	0	0		1	0	0	
-880803836	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	0	0		1	0	0	
-880803835	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	5	0	0	0		1	0	0	
-880803834	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	6	0	0	0		1	0	0	
-880803833	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	7	0	0	0		1	0	0	
-880803832	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	8	0	0	0		1	0	0	
-880803831	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	0	0		1	0	0	
-880803830	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	10	0	0	0		1	0	0	
-880803829	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	11	0	1	0		1	0	0	
-880803828	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	13	0	1	0		1	0	0	
-880803827	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	13	0	2	0		1	0	0	
-880803826	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	13	0	3	0		1	0	0	
-880803825	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	14	0	1	0		1	0	0	
-880803824	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	14	0	3	0		1	0	0	
-880803823	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	14	0	5	0		1	0	0	
-880803822	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	15	0	1	0		1	0	0	
-880803821	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	15	0	2	0		1	0	0	
-880803820	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	15	0	3	0		1	0	0	
-880803819	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	16	0	2	0		1	0	0	
-880803818	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	16	0	3	0		1	0	0	
-880803817	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	17	0	2	0		1	0	0	
-880803816	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	17	0	3	0		1	0	0	
-880803815	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	12	0	1	0		1	0	0	
