AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
-654311423	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	69	0	1	0		1	0	0	
-654311422	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	1	0	1	0		1	0	0	
-654311421	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	5	0	1	0		1	0	0	
-654311420	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	2	0		1	0	0	
-654311419	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	3	0		1	0	0	
-654311418	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	1	0		1	0	0	
-654311417	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	2	0	1	0		1	0	0	
-654311416	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	1	0		0	0	0	
-654311415	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	6	0	1	0		1	0	0	
-654311414	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	12	0	1	0		1	0	0	
-654311413	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	1	0		1	0	0	
-654311412	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	10	0	1	0		1	0	0	
-654311411	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	7	0	1	0		1	0	0	
-654311410	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	8	0	1	0		1	0	0	
-654311409	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	11	0	1	0		1	0	0	
-654311408	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	17	0	1	0		1	0	0	
-654311407	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	14	0	1	0		1	0	0	
-654311406	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	15	0	1	0		1	0	0	
-654311405	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	16	0	1	0		1	0	0	
-654311404	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	18	0	1	0		0	0	0	
-654311403	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	20	0	1	0		1	0	0	
-654311402	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	19	0	1	0		1	0	0	
-654311401	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	21	0	1	0		0	0	0	
-654311400	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	22	0	1	0		0	0	0	
-654311399	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	384	80	24	30	2	0		1	0	0	
-654311398	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	384	80	24	30	1	0		1	0	0	
-654311397	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	384	80	24	30	4	0		1	0	0	
-654311396	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	384	80	24	30	3	0		1	0	0	
-654311395	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	384	80	23	30	3	0		1	0	0	
-654311394	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	384	80	23	30	2	0		1	0	0	
-654311393	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	384	80	23	30	1	0		1	0	0	
-654311392	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	25	0	1	0		1	0	0	
-654311391	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	29	0	1	0		1	0	1	
-654311390	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	30	0	0	0		1	0	1	
-654311389	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	28	0	1	0		1	0	1	
-654311388	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	26	0	1	0		1	0	1	
-654311387	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	27	0	1	0		1	0	1	
-654311386	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	31	0	0	0		1	0	1	
-654311385	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	32	0	1	0		1	0	0	
-654311384	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	34	0	1	0		1	0	0	
-654311383	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	35	0	1	0		1	0	0	
-654311382	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	33	0	1	0		1	0	0	
-654311381	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	36	0	1	0		1	0	0	
-654311380	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	41	0	1	0		1	0	0	
-654311379	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	37	0	1	0		1	0	0	
-654311378	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	38	0	1	0		1	0	0	
-654311377	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	39	0	1	0		1	0	0	
-654311376	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	42	0	1	0		1	0	0	
-654311375	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	40	0	1	0		1	0	0	
-654311374	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	43	0	1	0		1	0	0	
-654311373	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	44	0	1	0		1	0	0	
-654311372	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	45	0	1	0		1	0	0	
-654311371	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	53	30	1	0		1	0	1	
-654311370	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	52	30	1	0		1	0	1	
-654311369	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	48	30	1	0		1	0	1	
-654311368	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	47	30	1	0		1	0	1	
-654311367	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	46	30	1	0		1	0	1	
-654311366	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	51	30	1	0		1	0	1	
-654311365	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	56	30	1	0		1	0	1	
-654311364	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	66	0	1	0		1	0	1	
-654311363	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	13	0	1	0		1	0	0	
-654311362	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	55	30	1	0		1	0	1	
-654311361	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	49	30	1	0		1	0	1	
-654311360	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	54	30	1	0		1	0	1	
-654311359	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	57	30	1	0		1	0	1	
-654311358	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	60	30	1	0		1	0	1	
-654311357	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	59	30	1	0		1	0	1	
