AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
222298113	scripts/Map/黑山林海/ai/沼泽迷瘴区_沼泽怪人.lua	1	768	768	32	256	64	0	32	512	384	80	67	0	1	0		1	0	1	
222298114	scripts/Map/黑山林海/ai/沼泽迷瘴区_沼泽怪人.lua	1	768	768	32	256	64	0	32	512	384	80	68	0	1	0		1	0	1	
222298115	scripts/Map/黑山林海/ai/沼泽迷瘴区_沼泽怪人.lua	1	768	768	32	256	64	0	32	512	384	80	65	0	1	0		1	0	1	
222298116	scripts/Map/黑山林海/ai/沼泽迷瘴区_沼泽怪人.lua	1	768	768	32	256	64	0	32	512	384	80	69	0	1	0		1	0	1	
222298117	scripts/Map/黑山林海/ai/沼泽迷瘴区_沼泽怪人.lua	1	768	768	32	256	64	0	32	512	384	80	64	0	1	0		1	0	1	
222298118	scripts/Map/黑山林海/ai/沼泽迷瘴区_沼泽怪人.lua	1	768	768	32	256	64	0	32	512	384	80	71	0	1	0		1	0	1	
222298119	scripts/Map/黑山林海/ai/沼泽迷瘴区_沼泽怪人.lua	1	768	768	32	256	64	0	32	512	384	80	72	0	1	0		1	0	1	
222298120	scripts/Map/黑山林海/ai/沼泽迷瘴区_沼泽怪人.lua	1	768	768	32	256	64	0	32	512	384	80	74	0	1	0		1	0	1	
222298121	scripts/Map/黑山林海/ai/沼泽迷瘴区_沼泽怪人.lua	1	768	768	32	256	64	0	32	512	384	80	61	0	1	0		1	0	1	
222298122	scripts/Map/黑山林海/ai/沼泽迷瘴区_沼泽怪人.lua	1	768	768	32	256	64	0	32	512	384	80	62	0	1	0		1	0	1	
222298123	scripts/Map/黑山林海/ai/沼泽迷瘴区_沼泽怪人.lua	1	768	768	32	256	64	0	32	512	384	80	63	0	1	0		1	0	1	
222298124	scripts/Map/黑山林海/ai/雨林二区_花人怪.lua	0	768	768	32	256	64	0	32	512	384	80	51	0	2	0		1	0	0	
222298125	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	32	0	1	0		1	0	0	
