AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
-2013265919	scripts/ai/DungeonStandardAI.lua	1	1280	768	0	256	64	0	32	0	384	80	19	0	3	0		1	1	1	
-2013265918	scripts/ai/DungeonStandardAI.lua	1	1280	768	0	256	64	0	32	0	384	80	19	0	2	0		1	1	1	
-2013265917	scripts/ai/DungeonStandardAI.lua	1	1280	768	0	256	64	0	32	0	384	80	17	0	2	0		1	1	1	
-2013265916	scripts/ai/DungeonStandardAI.lua	1	1280	768	0	256	64	0	32	0	384	80	17	0	3	0		1	1	1	
-2013265915	scripts/ai/DungeonStandardAI.lua	1	1280	768	0	256	64	0	32	0	384	80	18	0	3	0		1	1	1	
-2013265914	scripts/ai/DungeonStandardAI.lua	1	1280	768	0	256	64	0	32	0	384	80	18	0	2	0		1	1	1	
-2013265913	scripts/ai/DungeonStandardAI.lua	0	768	768	0	256	64	0	32	0	384	80	17	0	1	0		1	1	0	
-2013265912	scripts/ai/DungeonStandardAI.lua	0	768	768	0	256	64	0	32	0	384	80	18	0	1	0		1	1	0	
-2013265911	scripts/ai/DungeonStandardAI.lua	0	768	768	0	256	64	0	32	0	384	80	19	0	1	0		1	1	0	
-2013265910	scripts\Map\会战唐门\ai\特殊小怪独立AI\鹰眼小怪.lua	0	768	768	0	256	64	0	32	0	384	80	22	0	0	0		1	1	0	
-2013265909	scripts\Map\会战唐门\ai\特殊小怪独立AI\鹰眼小怪.lua	0	768	768	0	256	64	0	32	0	384	80	21	0	0	0		1	1	0	
-2013265908	scripts\Map\会战唐门\ai\特殊小怪独立AI\鹰眼小怪.lua	0	768	768	0	256	64	0	32	0	384	80	25	0	1	0		1	1	0	
-2013265907	scripts/ai/DungeonStandardAI.lua	0	768	768	0	256	64	0	32	0	384	80	25	0	2	0		1	1	0	
-2013265906	scripts/ai/DungeonStandardAI.lua	0	768	768	0	256	64	0	32	0	384	80	25	0	3	0		1	1	0	
-2013265905	scripts/ai/DungeonStandardAI.lua	1	768	768	0	256	64	0	32	0	384	80	20	0	1	0		1	1	0	
-2013265904	scripts/ai/DungeonStandardAI.lua	1	768	768	0	256	64	0	32	0	384	80	20	0	3	0		1	1	0	
-2013265903	scripts/ai/DungeonStandardAI.lua	1	768	768	0	256	64	0	32	0	384	80	20	0	2	0		1	1	0	
