AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
1933574145	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	1	0		1	0	0	
1933574146	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	3	0		1	0	0	
1933574147	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	2	0		1	0	0	
1933574148	scripts\Map\逐鹿中原\ai\孤军深入AI.lua	1	768	768	32	256	64	0	32	0	384	80	9	0	1	0		1	0	1	
1933574149	scripts\Map\逐鹿中原\ai\孤军深入AI.lua	1	768	768	32	256	64	0	32	0	384	80	9	0	3	0		1	0	1	
1933574150	scripts\Map\逐鹿中原\ai\孤军深入AI.lua	1	768	768	32	256	64	0	32	0	384	80	9	0	2	0		1	0	1	
1933574151	scripts\Map\逐鹿中原\ai\孤军深入AI.lua	1	768	768	32	256	64	0	32	0	384	80	15	0	1	0		1	0	1	
1933574152	scripts\Map\逐鹿中原\ai\孤军深入AI.lua	1	768	768	32	256	64	0	32	0	384	80	15	0	3	0		1	0	1	
1933574153	scripts\Map\逐鹿中原\ai\孤军深入AI.lua	1	768	768	32	256	64	0	32	0	384	80	15	0	2	0		1	0	1	
1933574154	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	3	0		1	0	0	
1933574155	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	1	0		1	0	0	
1933574156	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	2	0		1	0	0	
1933574157	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	10	0	1	0		1	0	1	
1933574158	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	10	0	2	0		1	0	1	
1933574159	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	10	0	3	0		1	0	1	
1933574160	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	16	0	1	0		1	0	1	
1933574161	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	16	0	2	0		1	0	1	
1933574162	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	16	0	3	0		1	0	1	
1933574163	scripts\Map\逐鹿中原\ai\守卫牛车NPC.lua	1	1280	1280	32	256	64	0	32	0	384	80	17	0	1	0		1	0	1	
1933574164	scripts\Map\逐鹿中原\ai\守卫牛车NPC.lua	1	1280	1280	32	256	64	0	32	0	384	80	18	0	1	0		1	0	1	
1933574165	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	17	0	2	0		1	0	1	
1933574166	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	17	0	3	0		1	0	1	
1933574167	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	18	0	2	0		1	0	1	
1933574168	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	18	0	3	0		1	0	1	
1933574169	scripts\Map\逐鹿中原\ai\守卫牛车NPC.lua	1	1280	1280	32	256	64	0	32	0	384	80	12	0	1	0		1	0	1	
1933574170	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	12	0	2	0		1	0	1	
1933574171	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	12	0	3	0		1	0	1	
1933574172	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	11	0	3	0		1	0	1	
1933574173	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	11	0	2	0		1	0	1	
1933574174	scripts\Map\逐鹿中原\ai\守卫牛车NPC.lua	1	1280	1280	32	256	64	0	32	0	384	80	11	0	1	0		1	0	1	
1933574175	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	5	0	1	0		1	0	0	
1933574176	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	5	0	2	0		1	0	0	
1933574177	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	5	0	3	0		1	0	0	
1933574178	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	6	0	2	0		1	0	0	
1933574179	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	6	0	3	0		1	0	0	
1933574180	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	6	0	1	0		1	0	0	
1933574181	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	8	0	3	0		1	0	0	
1933574182	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	8	0	2	0		1	0	0	
1933574183	scripts/ai/StandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	8	0	1	0		1	0	1	
1933574184	scripts/ai/StandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	7	0	1	0		1	0	1	
1933574185	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	7	0	3	0		1	0	0	
1933574186	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	7	0	2	0		1	0	0	
1933574187	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	13	0	1	0		1	0	1	
1933574188	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	13	0	3	0		1	0	1	
1933574189	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	13	0	2	0		1	0	1	
1933574190	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	14	0	1	0		1	0	1	
1933574191	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	14	0	3	0		1	0	1	
1933574192	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	14	0	2	0		1	0	1	
1933574193	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	19	0	1	0		1	0	1	
1933574194	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	20	0	1	0		1	0	1	
1933574195	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	19	0	2	0		1	0	1	
1933574196	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	19	0	3	0		1	0	1	
1933574197	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	20	0	3	0		1	0	1	
1933574198	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	20	0	2	0		1	0	1	
1933574199	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	512	384	80	21	0	3	0		1	0	1	
1933574200	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	512	384	80	21	0	1	0		1	0	1	
1933574201	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	512	384	80	21	0	2	0		1	0	1	
1933574202	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	512	384	80	22	0	3	0		1	0	1	
1933574203	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	512	384	80	22	0	2	0		1	0	1	
1933574204	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	512	384	80	22	0	1	0		1	0	1	
1933574205	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	512	384	80	23	0	1	0		1	0	1	
1933574206	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	512	384	80	23	0	2	0		1	0	1	
1933574207	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	512	384	80	23	0	3	0		1	0	1	
1933574208	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	26	0	1	0		1	0	1	
1933574209	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	26	0	2	0		1	0	1	
1933574210	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	26	0	3	0		1	0	1	
1933574211	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	26	0	4	0		1	0	1	
1933574212	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	26	0	5	0		1	0	1	
1933574213	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	26	0	7	0		1	0	1	
1933574214	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	26	0	6	0		1	0	1	
1933574215	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	27	0	5	0		1	0	1	
1933574216	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	27	0	7	0		1	0	1	
1933574217	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	27	0	6	0		1	0	1	
1933574218	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	27	0	4	0		1	0	1	
1933574219	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	27	0	1	0		1	0	1	
1933574220	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	27	0	2	0		1	0	1	
1933574221	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	27	0	3	0		1	0	1	
1933574222	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	28	0	1	0		1	0	0	
1933574223	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	28	0	2	0		1	0	0	
1933574224	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	29	0	1	0		0	0	0	
1933574225	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	29	0	2	0		0	0	0	
1933574226	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	30	0	2	0		1	0	0	
1933574227	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	30	0	1	0		1	0	0	
1933574228	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	31	0	1	0		1	0	0	
1933574229	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	38	0	1	0		1	0	1	
1933574230	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	38	0	2	0		1	0	1	
1933574231	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	34	0	1	0		1	0	1	
1933574232	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	32	0	1	0		1	0	1	
