AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
1145044993	scripts/Map/ÀÃ¿ÂÉ½/ai/ÖñÉÈÉ½×¯_»ÆÒ¶°ïà¶†ª.lua	1	768	768	32	256	64	0	32	0	384	80	4	0	1	0		1	0	1	
1145044994	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	6	0	1	0		1	0	0	
1145044995	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	7	0	1	0		1	0	0	
1145044996	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	7	0	2	0		1	0	0	
1145044997	scripts/Map/ÀÃ¿ÂÉ½/ai/ÖñÉÈÉ½×¯_»ÆÒ¶°ïà¶†ª.lua	1	768	768	32	256	64	0	32	0	384	80	5	0	1	0		1	0	1	
1145044998	scripts/Map/ÀÃ¿ÂÉ½/ai/ÖñÉÈÉ½×¯_»ÆÒ¶°ïà¶†ª.lua	1	768	768	32	256	64	0	32	0	384	80	3	0	1	0		1	0	1	
1145044999	scripts/Map/ÀÃ¿ÂÉ½/ai/ÖñÉÈÉ½×¯_»ÆÒ¶°ïà¶†ª.lua	1	768	768	32	256	64	0	32	0	384	80	8	0	1	0		1	0	1	
1145045000	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	11	0	1	0		1	0	0	
1145045001	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	11	0	2	0		1	0	0	
1145045002	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	12	0	1	0		1	0	0	
1145045003	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	12	0	2	0		1	0	0	
1145045004	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	13	0	1	0		1	0	0	
1145045005	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	17	0	2	0		1	0	0	
1145045006	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	17	0	1	0		1	0	0	
1145045007	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	17	0	3	0		1	0	0	
1145045008	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	18	0	1	0		1	0	0	
1145045009	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	18	0	2	0		1	0	0	
1145045010	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	19	0	1	0		1	0	0	
1145045011	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	19	0	3	0		1	0	0	
1145045012	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	20	0	1	0		1	0	0	
1145045013	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	21	0	1	0		1	0	0	
1145045014	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	22	0	1	0		1	0	0	
1145045015	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	23	0	1	0		1	0	0	
1145045016	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	24	0	1	0		1	0	0	
1145045017	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	25	0	1	0		1	0	0	
1145045018	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	26	0	1	0		1	0	0	
1145045019	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	33	0	1	0		1	0	0	
1145045020	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	34	0	1	0		1	0	0	
1145045021	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	35	0	1	0		1	0	0	
1145045022	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	37	0	1	0		1	0	0	
1145045023	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	38	0	1	0		1	0	0	
1145045024	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	39	0	1	0		1	0	0	
1145045025	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	39	0	2	0		1	0	0	
1145045026	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	40	0	1	0		1	0	0	
1145045027	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	40	0	2	0		1	0	0	
1145045028	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	41	0	1	0		1	0	0	
1145045029	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	42	0	1	0		1	0	0	
