AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
713031681	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	11	0	1	0		1	0	0	
713031682	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	11	0	3	0		1	0	0	
713031683	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	11	0	2	0		1	0	0	
713031684	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	1	0	3	0		1	1	0	
713031685	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	1	0	2	0		1	1	0	
713031686	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	1	0	1	0		1	0	0	
713031687	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	3	0	1	0		1	0	0	
713031688	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	3	0	3	0		1	1	0	
713031689	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	3	0	2	0		1	1	0	
713031690	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	2	0	1	0		1	0	0	
713031691	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	2	0	3	0		1	1	0	
713031692	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	2	0	2	0		1	1	0	
713031693	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	4	0	1	0		1	0	0	
713031694	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	4	0	2	0		1	0	0	
713031695	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	4	0	3	0		1	0	0	
713031696	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	5	0	2	0		1	1	0	
713031697	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	5	0	3	0		1	1	0	
713031698	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	5	0	1	0		1	1	0	
