AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
-1551892479	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	5	0	1	0		1	0	0	
-1551892478	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	5	0	3	0		1	0	0	
-1551892477	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	5	0	2	0		1	0	0	
-1551892476	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	1	0		1	0	0	
-1551892475	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	3	0		1	0	0	
-1551892474	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	2	0		1	0	0	
-1551892473	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	1	0		1	0	0	
-1551892472	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	14	0		1	0	0	
-1551892471	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	15	0		1	0	0	
-1551892470	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	9	0		1	0	0	
-1551892469	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	8	0		1	0	0	
-1551892468	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	13	0		1	0	0	
-1551892467	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	10	0		1	0	0	
-1551892466	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	5	0		1	0	0	
-1551892465	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	3	0		1	0	0	
-1551892464	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	4	0		1	0	0	
-1551892463	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	6	0		1	0	0	
-1551892462	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	11	0		1	0	0	
-1551892461	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	1	0		1	0	0	
-1551892460	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	12	0		1	0	0	
-1551892459	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	7	0		1	0	0	
-1551892458	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	2	0		1	0	0	
-1551892457	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	8	0	3	0		1	0	0	
-1551892456	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	8	0	1	0		1	0	0	
-1551892455	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	9	0	2	0		1	0	0	
-1551892454	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	8	0	2	0		1	0	0	
-1551892453	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	9	0	1	0		1	0	0	
-1551892452	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	9	0	3	0		1	0	0	
-1551892451	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	10	0	2	0		1	0	0	
-1551892450	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	10	0	1	0		1	0	0	
-1551892449	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	11	0	1	0		1	0	0	
-1551892448	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	11	0	2	0		1	0	0	
-1551892447	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	11	0	3	0		1	0	0	
-1551892446	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	11	0	4	0		1	0	0	
-1551892445	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	11	0	5	0		1	0	0	
-1551892444	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	13	0	1	0		0	0	0	
-1551892443	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	13	0	2	0		0	0	0	
-1551892442	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	13	0	3	0		0	0	0	
-1551892441	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	13	0	4	0		0	0	0	
