AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
150994945	scripts/ai/StandardAI.lua	0	768	768	32	256	0	0	0	0	0	80	0	0	1	0		1	0	0	
150994946	scripts/ai/StandardAI.lua	0	768	768	32	256	0	0	0	0	0	80	16	0	0	0		1	0	0	
150994947	scripts/ai/StandardAI.lua	0	768	768	32	256	0	0	0	0	0	80	17	0	0	0		1	0	0	
150994948	scripts/ai/StandardAI.lua	0	768	768	0	256	0	0	0	256	256	80	0	0	0	0		0	0	0	
150994949	scripts/ai/StandardAI.lua	0	768	768	0	256	0	0	0	0	0	0	0	0	0	0		0	0	0	
150994950	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	256	256	80	0	0	1	0		1	0	0	
150994951	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	256	80	0	0	1	0		1	0	0	
150994952	scripts/ai/StandardAI.lua	1	1024	768	32	256	64	0	32	512	384	80	123	0	0	0		1	0	0	
150994953	scripts/ai/StandardAI.lua	1	1024	768	32	256	64	0	32	512	384	80	124	0	0	0		1	0	0	
150994954	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	256	80	0	0	1	0		0	0	0	
150994955	scripts/ai/StandardAI.lua	1	768	768	0	256	0	0	0	0	0	0	0	0	0	0		0	0	0	
150994956	scripts/ai/StandardAI.lua	1	768	768	0	256	0	0	0	256	256	80	0	0	0	0		0	0	0	
150994957	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	256	256	80	18	0	0	0		1	0	0	
150994958	scripts/ai/StandardAI.lua	1	1024	768	32	256	64	0	32	512	384	80	125	0	0	0		1	0	0	
150994959	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	256	80	0	0	1	0		0	0	0	
150994960	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	256	80	0	0	1	0		1	0	0	
150994961	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	256	256	80	0	0	1	0		1	0	0	
150994962	scripts/ai/StandardAI.lua	1	768	768	0	256	0	0	0	256	256	80	0	0	0	0		1	0	0	
150994963	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	80	0	0	1	0		1	0	0	
150994964	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	256	256	80	1	0	0	0		0	0	0	
150994965	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	256	256	80	3	0	1	0		0	0	0	
150994966	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	30	0	0		1	0	0	
150994967	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	256	256	80	3	0	2	0		1	0	0	
150994968	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	512	384	80	126	30	0	0		1	0	0	
150994969	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	512	384	80	127	30	0	0		1	0	0	
150994970	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	256	80	56	0	1	0		1	0	0	
150994971	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	256	80	55	0	1	0		1	0	0	
150994972	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	256	256	80	15	0	0	0		1	0	0	
150994973	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	256	80	57	0	1	0		1	0	0	
150994974	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	256	80	54	0	1	0		1	0	0	
150994975	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	256	80	166	0	1	0		1	0	0	
150994976	scripts/ai/StandardAI.lua	1	768	768	0	256	0	0	0	0	256	80	0	0	0	0		1	0	0	
150994977	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	256	80	50	0	1	0		0	0	0	
150994978	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	256	80	165	0	1	0		1	0	0	
150994979	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	256	80	164	0	1	0		1	0	0	
150994980	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	256	80	68	0	1	0		0	0	0	
150994981	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	256	80	73	0	1	0		0	0	0	
150994982	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	256	80	70	0	1	0		0	0	0	
150994983	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	256	80	67	0	1	0		0	0	0	
150994984	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	256	80	71	0	1	0		1	0	0	
150994985	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	256	80	72	0	1	0		1	0	0	
150994986	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	256	256	80	69	0	1	0		1	0	0	
150994987	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	256	80	66	0	1	0		1	0	0	
150994988	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	256	80	160	0	1	0		1	0	0	
150994989	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	256	80	65	0	1	0		0	0	0	
150994990	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	62	30	0	0		1	0	0	
