AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
-150994943	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	13	30	1	0		1	0	0	
-150994942	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	512	384	80	16	30	2	0		1	0	0	
-150994941	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	1	1		1	0	1	
-150994940	scripts/Map/世界通用/ai/标准无敌免屠杀.lua	0	768	768	32	256	64	0	32	256	384	80	0	0	0	0		1	0	0	
-150994939	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	0	0	0	0	0	0		0	0	0	
-150994938	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	512	384	80	0	0	0	0		1	0	1	
-150994937	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	0	0	10	0	1	0		0	0	0	
-150994936	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	0	0	19	0	1	0		0	0	0	
-150994935	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	2	30	1	0		1	0	1	
-150994934	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	3	30	1	0		1	0	1	
-150994933	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	4	0	0	0		1	0	0	
-150994932	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	5	0	0	0		1	0	0	
-150994931	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	0	384	80	0	30	0	0		0	0	0	
-150994930	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	12	30	1	0		1	0	0	
-150994929	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	11	30	1	0		1	0	0	
-150994928	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	256	384	80	0	30	0	0		1	0	0	
-150994927	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	7	0	0	0		1	0	1	
-150994926	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	9	0	1	0		1	0	1	
-150994925	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	512	0	0	0	0	0	0		0	0	0	
-150994924	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	0	0	18	0	1	0		0	0	0	
-150994923	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	20	0	1	0		1	0	1	
-150994922	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	0	128	80	0	30	0	0		1	0	0	
-150994921	scripts\Map\成都\ai\动物表现\动物逃跑.lua	1	768	768	32	256	64	960	32	0	384	80	0	30	0	0		1	0	1	
-150994920	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	
-150994919	scripts/ai/StandardAI.lua	1	384	384	32	256	64	0	32	0	0	80	0	0	0	0		1	0	1	
-150994918	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	15	0	1	0		1	0	0	
-150994917	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	16	0	1	0		1	0	0	
-150994916	scripts/ai/StandardAI.lua	1	768	768	32	256	64	960	32	0	0	0	0	0	1	0		0	0	0	
