AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
-629145599	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	5	0	1	0		1	0	1	
-629145598	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	5	0	2	0		1	0	1	
-629145597	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	4	0	3	0		1	0	1	
-629145596	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	4	0	1	0		1	0	1	
-629145595	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	4	0	2	0		1	0	1	
-629145594	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	512	384	80	0	0	0	0		1	0	1	
-629145593	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	1	0	2	0		1	0	1	
-629145592	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	1	0	1	0		1	0	1	
-629145591	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	1	0	3	0		1	0	1	
-629145590	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	2	0	2	0		1	0	1	
-629145589	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	2	0	1	0		1	0	1	
-629145588	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	2	0	3	0		1	0	1	
-629145587	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	3	0	1	0		1	0	1	
-629145586	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	3	0	2	0		1	0	1	
-629145585	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	3	0	3	0		1	0	1	
-629145584	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	512	384	80	0	0	2	0		1	0	1	
-629145583	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	2	0		1	0	1	
-629145582	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	1	0		1	0	1	
-629145581	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	0	384	80	28	0	1	0		1	0	1	
-629145580	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	0	384	80	28	0	2	0		1	0	1	
-629145579	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	512	384	80	0	0	0	0		1	0	1	
-629145578	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	0	384	80	47	0	3	0		1	0	1	
-629145577	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	0	384	80	47	0	2	0		1	0	1	
-629145576	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	0	384	80	47	0	1	0		1	0	1	
-629145575	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	0	384	80	46	0	1	0		1	0	1	
-629145574	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	0	384	80	46	0	2	0		1	0	1	
-629145573	scripts/ai/StandardAI_CanSwim.lua	1	768	768	32	256	64	0	32	0	384	80	46	0	3	0		1	0	1	
-629145572	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	10	0	1	0		1	0	0	
-629145571	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	10	0	2	0		1	0	0	
-629145570	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	10	0	3	0		1	0	0	
-629145569	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	12	0	1	0		1	0	0	
-629145568	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	12	0	3	0		1	0	0	
-629145567	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	12	0	2	0		1	0	0	
-629145566	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	1	0		1	0	0	
-629145565	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	2	0		1	0	0	
-629145564	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	3	0		1	0	0	
-629145563	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	13	0	1	0		1	0	0	
-629145562	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	13	0	2	0		1	0	0	
-629145561	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	13	0	3	0		1	0	0	
-629145560	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	14	0	1	0		1	0	0	
-629145559	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	14	0	2	0		1	0	0	
-629145558	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	14	0	3	0		1	0	0	
-629145557	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	11	0	1	0		1	0	0	
-629145556	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	11	0	2	0		1	0	0	
-629145555	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	11	0	3	0		1	0	0	
-629145554	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	19	0	1	0		1	0	0	
-629145553	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	19	0	2	0		1	0	0	
-629145552	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	18	0	1	0		1	0	0	
-629145551	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	18	0	2	0		1	0	0	
-629145550	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	15	0	1	0		1	0	0	
-629145549	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	17	0	1	0		1	0	0	
-629145548	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	20	0	1	0		1	0	1	
-629145547	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	21	0	1	0		1	0	1	
