AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
-1132462079	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	2	0	1	0		1	0	0	
-1132462078	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	2	0	2	0		0	0	0	
-1132462077	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	2	0	3	0		0	0	0	
-1132462076	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	1	0	1	0		1	0	0	
-1132462075	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	1	0	2	0		0	0	0	
-1132462074	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	1	0	3	0		0	0	0	
-1132462073	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	960	32	256	128	80	3	80	3	0		1	0	0	
-1132462072	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	960	32	256	128	80	3	80	4	0		1	0	0	
-1132462071	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	960	32	256	128	80	3	80	5	0		1	0	0	
-1132462070	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	960	32	256	128	80	3	80	2	0		1	0	0	
-1132462069	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	960	32	256	128	80	3	80	1	0		1	0	0	
-1132462068	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	960	32	256	128	80	4	80	2	0		1	0	0	
-1132462067	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	960	32	256	128	80	4	80	4	0		1	0	0	
-1132462066	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	960	32	256	128	80	4	80	5	0		1	0	0	
-1132462065	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	960	32	256	128	80	4	80	1	0		1	0	0	
-1132462064	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	960	32	256	128	80	4	80	3	0		1	0	0	
-1132462063	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	960	32	256	128	80	5	80	1	0		1	0	0	
-1132462062	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	960	32	256	128	80	5	80	4	0		1	0	0	
-1132462061	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	960	32	256	128	80	5	80	5	0		1	0	0	
-1132462060	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	960	32	256	128	80	5	80	3	0		1	0	0	
-1132462059	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	960	32	256	128	80	5	80	2	0		1	0	0	
-1132462058	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	4	0		1	0	0	
-1132462057	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	0	32	512	384	80	7	0	1	0		1	0	0	
-1132462056	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	0	32	512	384	80	7	0	3	0		1	0	0	
-1132462055	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	0	32	512	384	80	7	0	6	0		1	0	0	
-1132462054	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	0	32	512	384	80	7	0	4	0		1	0	0	
-1132462053	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	0	32	512	384	80	7	0	5	0		1	0	0	
-1132462052	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	3	0		1	0	0	
-1132462051	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	5	0		1	0	0	
-1132462050	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	1	0		1	0	0	
-1132462049	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	0	32	512	384	80	8	0	1	0		1	0	0	
-1132462048	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	0	32	512	384	80	7	0	2	0		1	0	0	
-1132462047	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	0	32	512	384	80	6	0	2	0		1	0	0	
-1132462046	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	0	32	512	384	80	8	0	2	0		1	0	0	
-1132462045	scripts/ai/StandardAI_CanSwim.lua	0	768	768	32	256	64	0	32	512	384	80	8	0	3	0		1	0	0	
-1132462044	scripts/ai/StandardAI.lua	1	512	768	32	256	64	0	32	0	384	80	36	0	1	0		1	0	1	
-1132462043	scripts/ai/StandardAI.lua	1	512	768	32	256	64	0	32	0	384	80	36	0	2	0		1	0	1	
-1132462042	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	40	0	2	0		1	0	1	
