AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
-1644167167	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	922	0	1	0		1	0	0	
-1644167166	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	28	0	1	0		1	0	0	
-1644167165	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	28	0	3	0		1	0	0	
-1644167164	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	28	0	2	0		1	0	0	
-1644167163	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	27	0	1	0		1	0	0	
-1644167162	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	27	0	2	0		1	0	0	
-1644167161	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	27	0	3	0		1	0	0	
-1644167160	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	897	0	2	0		1	0	0	
-1644167159	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	897	0	1	0		1	0	0	
-1644167158	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	919	0	1	0		1	0	0	
-1644167157	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	919	0	2	0		1	0	0	
-1644167156	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	919	0	3	0		1	0	0	
-1644167155	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	24	0	1	0		1	0	0	
-1644167154	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	24	0	2	0		1	0	0	
-1644167153	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	24	0	3	0		1	0	0	
-1644167152	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	25	0	0	0		1	0	0	
-1644167151	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	25	0	1	0		1	0	0	
-1644167150	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	25	0	2	0		1	0	0	
-1644167149	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	26	0	1	0		1	0	0	
-1644167148	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	26	0	2	0		1	0	0	
-1644167147	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	26	0	3	0		1	0	0	
-1644167146	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	898	0	1	0		1	0	0	
-1644167145	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	898	0	2	0		1	0	0	
-1644167144	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	2	0		1	0	0	
-1644167143	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	1	0		1	0	0	
-1644167142	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	3	0		1	0	0	
-1644167141	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	2	0	2	0		1	0	0	
-1644167140	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	896	0	0	0		1	0	0	
-1644167139	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	1	0	1	0		1	0	0	
