AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
-838860799	scripts/ai/DungeonStandardAI.lua	1	768	1600	32	256	64	0	32	0	384	80	31	0	0	0		1	1	1	
-838860798	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	31	0	0	0		1	1	1	
-838860797	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	23	0	1	0		1	1	1	
-838860796	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	23	0	3	0		1	1	1	
-838860795	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	23	0	2	0		1	1	1	
-838860794	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	22	30	1	0		1	1	1	
-838860793	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	32	30	1	0		1	1	1	
-838860792	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	32	0	3	0		1	1	1	
-838860791	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	32	0	2	0		1	1	1	
-838860790	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	22	0	2	0		1	0	1	
-838860789	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	22	0	3	0		1	0	1	
-838860788	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	4	30	1	0		1	1	1	
-838860787	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	4	0	2	0		1	1	1	
-838860786	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	4	0	3	0		1	1	1	
-838860785	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	30	0	1	0		1	1	1	
-838860784	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	30	0	2	0		1	1	1	
-838860783	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	30	0	3	0		1	1	1	
-838860782	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	8	0	1	0		1	1	0	
-838860781	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	1	0		1	1	0	
-838860780	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	21	30	1	0		1	1	1	
-838860779	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	21	0	3	0		1	0	1	
-838860778	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	21	0	2	0		1	0	1	
-838860777	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	10	0	2	0		1	1	1	
-838860776	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	10	0	1	0		1	1	1	
-838860775	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	1	0		1	1	1	
-838860774	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	0	30	2	0		1	1	1	
-838860773	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	0	30	5	0		1	1	1	
-838860772	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	0	30	3	0		1	1	1	
