AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
301989889	scripts/ai/StandardAI.lua	0	768	768	32	256	0	0	0	256	256	80	0	0	1	0		1	0	0	
301989890	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	256	256	80	0	0	1	0		1	0	0	
301989891	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	0	0	1	0		1	0	0	
301989892	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	2	0	0	0		1	0	0	
301989893	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	3	0	0	0		1	0	0	
301989894	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	4	0	0	0		1	0	0	
301989895	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	6	0	0	0		1	0	0	
301989896	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	7	0	0	0		1	0	0	
301989897	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	5	0	0	0		1	0	0	
301989898	scripts/ai/StandardAI.lua	1	768	768	20	256	0	0	0	0	0	0	8	0	0	0		1	0	0	
301989899	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	8	0	0	0		1	0	0	
301989900	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	10	0	0	0		1	0	0	
301989901	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	11	0	0	0		1	0	0	
301989902	scripts\Map\ÎÞÑÎµº\ai\ÎÞÑÎµº1ºÅ³èÎï.lua	1	1280	1280	32	256	64	0	32	0	384	80	9	0	2	0		1	1	1	
301989903	scripts\Map\ÎÞÑÎµº\ai\ÎÞÑÎµº1ºÅBOSS.lua	1	1280	1280	32	256	64	0	32	0	384	80	9	0	1	0		1	1	1	
301989904	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	12	0	0	0		1	0	0	
301989905	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	0	0	80	1	0	0	0		1	0	0	
301989906	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	13	0	0	0		1	0	0	
301989907	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	0	384	80	0	30	0	0		0	0	0	
301989908	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	0	0	0	0	100	1	0		0	0	0	
301989909	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	14	0	1	0		1	0	0	
301989910	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	14	0	2	0		1	0	0	
301989911	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	14	0	3	0		1	0	0	
301989912	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	15	0	0	0		1	0	0	
301989913	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	16	0	0	0		1	0	0	
301989914	scripts/ai/StandardAI.lua	0	768	768	32	256	64	960	32	0	0	0	21	0	0	0		1	0	0	
301989915	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	20	0	0	0		1	0	0	
301989916	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	18	0	0	0		1	0	0	
301989917	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	17	0	0	0		1	0	0	
301989918	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	19	0	0	0		1	0	0	
301989919	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	23	0	0	0		1	0	0	
301989920	scripts/ai/StandardAI.lua	1	768	768	32	256	0	0	0	0	0	0	24	0	0	0		1	0	0	
301989921	scripts/ai/StandardAI.lua	0	768	768	0	256	0	0	0	0	0	0	0	0	0	0		0	0	0	
301989922	scripts/ai/StandardAI.lua	1	1024	768	32	256	64	0	32	0	384	80	22	0	0	0		1	0	0	
301989923	scripts/ai/DungeonStandardAI.lua	1	1792	768	32	256	64	0	32	0	384	80	29	0	1	0		1	1	0	
301989924	scripts/ai/DungeonStandardAI.lua	1	1792	768	32	256	64	0	32	0	384	80	29	0	3	0		1	1	0	
301989925	scripts/ai/DungeonStandardAI.lua	1	1792	768	32	256	64	0	32	0	384	80	29	0	2	0		1	1	0	
301989926	scripts/ai/DungeonStandardAI.lua	1	1792	768	32	256	64	0	32	0	384	80	30	0	1	0		1	1	0	
301989927	scripts/ai/DungeonStandardAI.lua	1	1792	768	32	256	64	0	32	0	384	80	30	0	2	0		1	1	0	
301989928	scripts/ai/DungeonStandardAI.lua	1	1792	768	32	256	64	0	32	0	384	80	30	0	3	0		1	1	0	
