AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
8388609	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	15	0	1	0		1	1	1	
8388610	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	16	0	1	0		1	1	1	
8388611	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	17	0	1	0		1	1	1	
8388612	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	18	0	1	0		1	1	1	
8388613	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	12	0	1	0		1	1	1	
8388614	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	11	0	1	0		1	1	1	
8388615	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	14	0	1	0		1	1	1	
8388616	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	13	0	1	0		1	1	1	
8388617	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	1	0	1	0		1	1	1	
8388618	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	1	0	2	0		1	1	1	
8388619	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	1	0	3	0		1	1	1	
8388620	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	2	0	3	0		1	1	1	
8388621	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	2	0	2	0		1	1	1	
8388622	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	3	0	1	0		1	1	1	
8388623	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	3	0	2	0		1	1	1	
8388624	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	4	0	1	0		1	1	1	
8388625	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	4	0	2	0		1	1	1	
8388626	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	5	0	1	0		1	1	1	
8388627	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	5	0	2	0		1	1	1	
8388628	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	5	0	3	0		1	1	1	
8388629	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	6	0	1	0		1	1	1	
8388630	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	6	0	2	0		1	1	1	
8388631	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	6	0	3	0		1	1	1	
8388632	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	7	0	1	0		1	1	1	
8388633	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	7	0	3	0		1	1	1	
8388634	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	7	0	2	0		1	1	1	
8388635	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	9	0	1	0		1	1	1	
8388636	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	9	0	2	0		1	1	1	
8388637	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	9	0	3	0		1	1	1	
8388638	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	10	0	1	0		1	1	1	
8388639	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	19	0	1	0		1	1	1	
8388640	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	8	0	1	0		1	1	1	
8388641	scripts\ai\DungeonStandardAI.lua	1	1280	1280	32	256	64	0	32	0	384	80	8	0	2	0		1	1	1	
