AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
-1874853887	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	7	0	0	0		1	0	1	
-1874853886	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	10	0	0	0		1	0	1	
-1874853885	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	8	0	0	0		1	0	1	
-1874853884	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	9	0	0	0		1	0	1	
-1874853883	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	6	0	0	0		1	0	1	
-1874853882	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	3	0	0	0		1	0	1	
-1874853881	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	4	0	0	0		1	0	1	
-1874853880	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	2	0	0	0		1	0	1	
-1874853879	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	11	0	0	0		1	0	1	
-1874853878	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	5	0	0	0		1	0	1	
-1874853877	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	1	0	0	0		1	0	1	
-1874853876	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	13	0	0	0		1	0	0	
-1874853875	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	12	0	0	0		1	0	0	
-1874853874	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	15	0	0	0		0	0	0	
-1874853873	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	16	0	0	0		0	0	0	
-1874853872	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	17	0	0	0		1	0	0	
-1874853871	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	18	0	0	0		1	0	0	
-1874853870	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	19	0	0	0		0	0	0	
-1874853869	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	20	0	0	0		1	0	0	
-1874853868	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	21	0	0	0		0	0	0	
-1874853867	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	22	0	0	0		0	0	0	
-1874853866	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	23	0	0	0		0	0	0	
-1874853865	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	24	0	0	0		0	0	0	
-1874853864	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	27	0	0	0		1	0	0	
-1874853863	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	28	0	0	0		0	0	0	
-1874853862	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	29	0	0	0		0	0	0	
-1874853861	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	30	0	0	0		0	0	0	
-1874853860	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	31	0	0	0		1	0	0	
-1874853859	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	32	0	0	0		0	0	0	
-1874853858	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	33	0	0	0		1	0	1	
-1874853857	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	34	0	0	0		1	0	1	
-1874853856	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	35	0	0	0		1	0	1	
-1874853855	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	38	0	0	0		1	0	1	
-1874853854	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	40	0	0	0		1	0	1	
-1874853853	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	41	0	0	0		1	0	1	
-1874853852	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	39	0	0	0		1	0	1	
-1874853851	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	42	0	0	0		1	0	1	
-1874853850	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	43	0	0	0		1	0	1	
-1874853849	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	44	0	0	0		1	0	1	
-1874853848	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	37	0	0	0		1	0	1	
-1874853847	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	36	0	0	0		1	0	1	
-1874853846	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	45	0	0	0		1	0	1	
-1874853845	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	46	0	0	0		1	0	1	
