AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
260046849	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	1	0	0	0		1	0	0	
260046850	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	2	0	0	0		1	0	0	
260046851	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	3	0		1	0	0	
260046852	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	2	0		1	0	0	
260046853	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	3	0	1	0		1	0	0	
260046854	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	3	0		1	0	0	
260046855	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	1	0		1	0	0	
260046856	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	4	0	2	0		1	0	0	
260046857	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	5	0	3	0		1	0	0	
260046858	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	5	0	2	0		1	0	0	
260046859	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	5	0	1	0		1	0	0	
260046860	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	6	0	1	0		1	0	0	
260046861	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	6	0	2	0		1	0	0	
260046862	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	6	0	3	0		1	0	0	
260046863	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	7	0	0	0		1	0	0	
260046864	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	8	0	1	0		1	0	0	
260046865	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	8	0	2	0		1	0	0	
260046866	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	2	0		1	0	0	
260046867	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	3	0		1	0	0	
260046868	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	1	0		1	0	0	
260046869	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	4	0		1	0	0	
260046870	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	5	0		1	0	0	
