AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
-956301311	scripts/ai/DungeonStandardAI.lua	1	768	1600	32	256	64	0	32	0	384	80	31	0	0	0		1	1	1	
-956301310	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	31	0	0	0		1	1	1	
-956301309	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	23	0	1	0		1	1	1	
-956301308	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	23	0	3	0		1	1	1	
-956301307	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	23	0	2	0		1	1	1	
-956301306	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	22	30	1	0		1	1	1	
-956301305	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	32	30	1	0		1	1	1	
-956301304	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	32	0	3	0		1	1	1	
-956301303	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	32	0	2	0		1	1	1	
-956301302	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	22	0	2	0		1	0	1	
-956301301	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	22	0	3	0		1	0	1	
-956301300	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	4	30	1	0		1	1	1	
-956301299	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	4	0	2	0		1	1	1	
-956301298	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	4	0	3	0		1	1	1	
-956301297	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	30	0	1	0		1	1	1	
-956301296	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	30	0	2	0		1	1	1	
-956301295	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	30	0	3	0		1	1	1	
-956301294	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	8	0	1	0		1	1	0	
-956301293	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	9	0	1	0		1	1	0	
-956301292	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	21	30	1	0		1	1	1	
-956301291	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	21	0	3	0		1	0	1	
-956301290	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	21	0	2	0		1	0	1	
-956301289	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	10	0	2	0		1	1	1	
-956301288	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	10	0	1	0		1	1	1	
-956301287	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	1	0		1	1	1	
-956301286	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	0	30	2	0		1	1	1	
-956301285	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	0	30	5	0		1	1	1	
-956301284	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	0	30	3	0		1	1	1	
-956301283	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	0	30	6	0		1	1	1	
-956301282	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	0	30	4	0		1	1	1	
-956301281	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	0	30	7	0		1	1	1	
-956301280	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	11	30	1	0		1	1	1	
-956301279	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	13	30	1	0		1	1	1	
-956301278	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	14	0	1	0		1	1	1	
-956301277	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	11	0	2	0		1	1	0	
-956301276	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	20	0	1	0		1	1	1	
-956301275	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	15	0	2	0		1	1	0	
-956301274	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	15	30	1	0		1	1	1	
-956301273	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	17	0	1	0		1	1	1	
-956301272	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	16	0	1	0		1	1	1	
-956301271	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	16	30	2	0		1	1	1	
-956301270	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	16	30	3	0		1	1	1	
-956301269	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	18	30	1	0		1	1	1	
-956301268	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	960	32	0	384	80	18	30	2	0		1	1	1	
-956301267	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	24	0	0	0		1	1	1	
-956301266	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	25	0	0	0		1	1	1	
-956301265	scripts\Map\太原之战_逐虎驱狼\ai\其他\公用投弹兵.lua	1	768	768	32	256	64	0	32	0	384	80	26	0	0	0		1	1	1	
-956301264	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	27	0	0	0		1	1	1	
-956301263	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	28	0	0	0		1	1	1	
-956301262	scripts\Map\太原之战_逐虎驱狼\ai\其他\公用投弹兵.lua	1	768	768	32	256	64	0	32	0	384	80	29	0	0	0		1	1	1	
