AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
27668	scripts\Map\墨家秘殿\ai\1号\1号BOSS.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
27703	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
27704	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
27705	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
27706	scripts\Map\墨家秘殿\ai\1号\战俑.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
27707	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
27713	scripts\Map\墨家秘殿\ai\1号\战车范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
27714	scripts\Map\墨家秘殿\ai\1号\阻挡机关.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
30367	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
30392	scripts\Map\墨家秘殿\ai\1号\BOSS机关.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
30393	scripts\Map\墨家秘殿\ai\2号\二号兵俑.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
30394	scripts\Map\墨家秘殿\ai\2号\二号兵俑.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
30395	scripts\Map\墨家秘殿\ai\2号\弩俑.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
