AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
17004	scripts/ai/DungeonStandardAI.lua	1	768	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
17005	scripts/ai/DungeonStandardAI.lua	1	768	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
17006	scripts/ai/DungeonStandardAI.lua	1	768	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
17007	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
17008	scripts/ai/DungeonStandardAI.lua	1	768	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
17009	scripts/ai/StandardAI.lua	0	768	1536	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17010	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17011	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17012	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17013	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17014	scripts\Map\南诏皇宫\ai\特殊小怪\钢枪卫.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17015	scripts\Map\南诏皇宫\ai\特殊小怪\精锐射手.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17016	scripts\Map\南诏皇宫\ai\特殊小怪\猎头射生.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17017	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17018	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17019	scripts/ai/DungeonStandardAI.lua	1	768	1024	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
17020	scripts/ai/DungeonStandardAI.lua	1	768	1246	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
17021	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17022	scripts/ai/StandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	1	320
17023	scripts\Map\南诏皇宫\ai\4号BOSS摩提耶罗\门口的小怪.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17024	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17025	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17026	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17027	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17028	scripts\Map\南诏皇宫\ai\3号BOSS龙王\萧沙.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
17029	scripts\Map\南诏皇宫\ai\3号BOSS龙王\王遗风.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
17030	scripts\Map\南诏皇宫\ai\3号BOSS龙王\谢渊.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
17031	scripts\Map\南诏皇宫\ai\3号BOSS龙王\莫雨.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
17032	scripts\Map\南诏皇宫\ai\3号BOSS龙王\毛毛.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
17033	scripts\Map\南诏皇宫\ai\4号BOSS摩提耶罗\摩提耶罗.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17034	scripts\Map\南诏皇宫\ai\4号BOSS摩提耶罗\智慧王.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17035	scripts\Map\南诏皇宫\ai\5号BOSS南诏王\阁罗凤.lua	1	5000	5000	0	1000	64	0	32	0	384	80	0	0	0	0		1	1	1	320
17036	scripts\Map\世界通用\ai\空.lua	1	1024	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
17037	scripts\Map\世界通用\ai\空.lua	1	1024	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
17038	scripts\Map\世界通用\ai\空.lua	1	1024	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
17039	scripts\Map\南诏皇宫\ai\特殊小怪\蛮王.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17040	scripts\Map\南诏皇宫\ai\5号BOSS南诏王\宠臣对话.lua	1	1024	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
17041	scripts\Map\成都\ai\表现专用标准AI变型.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17042	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17043	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17044	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17045	scripts\Map\成都\ai\表现专用标准AI变型.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17046	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17047	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17048	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17049	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17050	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17051	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17052	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17053	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17054	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17055	scripts\Map\南诏皇宫\ai\友方相关\阵地将军.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17056	scripts\Map\南诏皇宫\ai\友方相关\阵地将军.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17057	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17058	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17059	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17060	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17061	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17062	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17063	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
17064	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
