AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
51050	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号哥舒翰.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51051	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号范围.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51052	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号技能.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51053	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号技能辅助.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51054	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号五方守护.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51055	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号落枪.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51056	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号枪魂.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51057	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号枪气.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51058	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号圆火圈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51059	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号横扫引子.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51134	scripts\Map\上阳宫_双曜亭\ai\黑齿元佑\黑齿元佑.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
51135	scripts\Map\上阳宫_双曜亭\ai\黑齿元佑\蜘蛛.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
51136	scripts\Map\上阳宫_双曜亭\ai\黑齿元佑\毒花.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
51137	scripts\Map\上阳宫_双曜亭\ai\黑齿元佑\潜地蜘蛛.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
51138	scripts\Map\上阳宫_双曜亭\ai\黑齿元佑\刷蜘蛛控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
51139	scripts\Map\上阳宫_双曜亭\ai\黑齿元佑\刷毒花控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
51140	scripts\Map\上阳宫_双曜亭\ai\黑齿元佑\黑齿技能控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
51141	scripts\Map\上阳宫_双曜亭\ai\黑齿元佑\黑齿总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
51142	scripts\Map\上阳宫_双曜亭\ai\黑齿元佑\协防判断控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
51359	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51503	scripts\Map\上阳宫_双曜亭\ai\哥舒翰\7号圆火圈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51552	scripts\Map\上阳宫_双曜亭\ai\安庆绪\毒尸.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51589	scripts\Map\上阳宫_双曜亭\ai\安庆绪\蛞蝓一.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
51675	scripts\Map\上阳宫_双曜亭\ai\安庆绪\安庆绪.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51676	scripts\Map\上阳宫_双曜亭\ai\安庆绪\P1瞄准NPC.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51677	scripts\Map\上阳宫_双曜亭\ai\安庆绪\P1箭支.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51678	scripts\Map\上阳宫_双曜亭\ai\安庆绪\飞行箭弩_P2弹幕.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51679	scripts\Map\上阳宫_双曜亭\ai\安庆绪\P2_扇形提示NPC.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51680	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51681	scripts\Map\上阳宫_双曜亭\ai\安庆绪\P3_扇面提示特效.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51682	scripts\Map\上阳宫_双曜亭\ai\安庆绪\P3左右手提示.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51683	scripts\Map\上阳宫_双曜亭\ai\安庆绪\P4_扇形提示NPC.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51684	scripts\Map\上阳宫_双曜亭\ai\安庆绪\P4连线控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51685	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51690	scripts\Map\上阳宫_双曜亭\ai\安庆绪\P1辅助瞄准NPC.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51709	scripts\Map\上阳宫_双曜亭\ai\安庆绪\P4_扇形提示NPC.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
52006	scripts/ai/DungeonStandardAI.lua	1	1500	1500	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
52012	scripts\Map\上阳宫_双曜亭\ai\黑齿元佑小怪\蜘蛛卵.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
52013	scripts\Map\上阳宫_双曜亭\ai\黑齿元佑小怪\蜘蛛卵里的士兵.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
52022	scripts\Map\上阳宫_双曜亭\ai\安庆绪\安庆绪总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
