AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
36864	scripts\Map\太原之战_夜守孤城\ai\田布戈\田布戈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
36865	scripts\Map\太原之战_夜守孤城\ai\田布戈小怪\狼牙巡逻军.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36866	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36867	scripts\Map\太原之战_夜守孤城\ai\田布戈\田布戈范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36868	scripts\Map\太原之战_夜守孤城\ai\田布戈\田布戈技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36869	scripts\Map\太原之战_夜守孤城\ai\火龙摧城\火龙摧城本体.lua	0	2560	2560	32	2560	64	0	32	0	0	80	0	0	0	0		1	0	0	320
36870	scripts\Map\太原之战_夜守孤城\ai\火龙摧城\火龙旋转炮.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36871	scripts\Map\太原之战_夜守孤城\ai\火龙摧城\火龙喷火枪.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36872	scripts\Map\太原之战_夜守孤城\ai\火龙摧城\油圈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36873	scripts\Map\太原之战_夜守孤城\ai\火龙摧城\火圈.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36874	scripts\Map\太原之战_夜守孤城\ai\火龙摧城\机雷机关.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36875	scripts\Map\太原之战_夜守孤城\ai\火龙摧城\喷火枪虚拟体.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36876	scripts\Map\太原之战_夜守孤城\ai\火龙摧城\火墙机关.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36877	scripts\Map\太原之战_夜守孤城\ai\火龙摧城\火墙机关总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36878	scripts\Map\太原之战_夜守孤城\ai\火龙摧城\流程总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36879	scripts\Map\太原之战_夜守孤城\ai\火龙摧城\阶段监控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36880	scripts\Map\太原之战_夜守孤城\ai\火龙摧城\范围控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36881	scripts\Map\太原之战_夜守孤城\ai\火龙摧城\落石.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36882	scripts/Map/世界通用/ai/标准无敌免屠杀.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36883	scripts/Map/世界通用/ai/标准无敌免屠杀.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36884	scripts\Map\太原之战_夜守孤城\ai\攻城战\攻城战总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
36885	scripts\Map\太原之战_夜守孤城\ai\攻城战\狼牙投石车.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	0	0	320
36886	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36887	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
36888	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
36889	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
36890	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36891	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36892	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36893	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36894	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36895	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36896	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36897	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36898	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36899	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36900	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36901	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36902	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36903	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36904	scripts/Map/世界通用/ai/标准无敌免屠杀.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
36905	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36906	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36907	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
36908	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
