AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
41747	scripts\Map\天泣林\ai\1号\弓箭兵.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
41748	scripts\Map\天泣林\ai\1号\移动的箭弩.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
41750	scripts\Map\天泣林\ai\1号\总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
41751	scripts\Map\天泣林\ai\1号\花千雨.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
41753	scripts\Map\天泣林\ai\3号\高力士.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
41754	scripts\Map\天泣林\ai\2号\暗.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
41761	scripts\Map\天泣林\ai\2号\总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
41762	scripts\Map\天泣林\ai\2号\报信小兵.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
41763	scripts\Map\天泣林\ai\3号\李倓.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
41764	scripts\Map\天泣林\ai\3号\旋转的冰晶.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
41765	scripts\Map\天泣林\ai\3号\总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
41766	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
41767	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
41768	scripts\Map\天泣林\ai\2号\AOE技能控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
41769	scripts\Map\天泣林\ai\2号\面向控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
41770	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	512	384	80	0	0	0	0		1	1	0	320
41841	scripts\Map\天泣林\ai\3号\冰锥.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42289	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
42290	scripts\Map\天泣林\ai\2号\猎狗.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42310	scripts\Map\天泣林\ai\3号\技能控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42311	scripts\Map\天泣林\ai\3号\踩水控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42312	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42317	scripts\Map\天泣林\ai\剧情表现\林白轩.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42318	scripts\Map\天泣林\ai\剧情表现\姬别情.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42319	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	1	320
42320	scripts\Map\天泣林\ai\剧情表现\小怪互砍.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42321	scripts\Map\天泣林\ai\剧情表现\小怪互砍.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42322	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42323	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42325	scripts\Map\天泣林\ai\剧情表现\下马控制.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
42326	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	512	384	80	0	0	0	0		1	1	1	320
42331	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42335	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42336	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
42337	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42338	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
42339	scripts/ai/DungeonStandardAI.lua	1	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
42340	scripts\Map\天泣林\ai\剧情表现\蛇.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42344	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42798	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
42853	scripts\Map\天泣林\ai\剧情表现\青蛙.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
