AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
51594	scripts\Map\挑战白帝水宫\ai\1号_慕容绿珠\总控_慕容绿珠.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51595	scripts\Map\挑战白帝水宫\ai\1号_慕容绿珠\技能控制_慕容绿珠.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51596	scripts\Map\挑战白帝水宫\ai\周边\楚小妹侍女.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
51597	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51598	scripts\Map\挑战白帝水宫\ai\2号_宫天蝉\总控_龙卷.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51599	scripts\Map\挑战白帝水宫\ai\2号_宫天蝉\总控_音域.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51600	scripts\Map\挑战白帝水宫\ai\1号_慕容绿珠\暗星.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51601	scripts\Map\挑战白帝水宫\ai\2号_宫天蝉\BOSS_宫天蝉.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51602	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
51603	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
51604	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
51605	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51606	scripts\Map\挑战白帝水宫\ai\2号_宫天蝉\总控_宫天蝉.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51607	scripts\Map\挑战白帝水宫\ai\2号_宫天蝉\技能控制_宫天蝉.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51608	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51609	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51610	scripts/ai/StandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51611	scripts\Map\挑战白帝水宫\ai\周边\舞娘.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51612	scripts\Map\挑战白帝水宫\ai\2号_宫天蝉\震林碎山施放者.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51613	scripts\Map\挑战白帝水宫\ai\2号_宫天蝉\万籁齐喑施放者.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51614	scripts\Map\白帝水宫\ai\2号_宫天蝉\慕容绿珠空AI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		0	1	0	320
51615	scripts\Map\挑战白帝水宫\ai\周边\酒鬼.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51616	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51617	scripts/ai/CommonFoolish.lua	0	768	0	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
51618	scripts\Map\挑战白帝水宫\ai\2号_宫天蝉\音域.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
