AIType	ScriptFile	IsPositive	AlertRange	SearchPlayerDistance	AlertOverTime	AttackRange	EscapeTime	EscapeRange	EscapeInterval	WanderRange	WanderDistance	WanderInterval	PatrolPathID	EscapeLife	PatrolOrderIndex	ReviveTeammate	CustomArguments	IsAutoTurn	NpcSceneType	IsSnarlInFight	DialogIdleTime
120746	scripts/Map/武狱黑牢/ai/2号_乐临川/乐临川.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
120747	scripts\Map\武狱黑牢\ai\6号_翁幼之\翁幼之.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
120748	scripts\Map\武狱黑牢\ai\6号_翁幼之\范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
120749	scripts\Map\武狱黑牢\ai\6号_翁幼之\技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
120756	scripts/Map/武狱黑牢/ai/2号_乐临川/乐临川范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
120757	scripts/Map/武狱黑牢/ai/2号_乐临川/乐临川技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
120759	scripts\Map\武狱黑牢\ai\6号_翁幼之\血影碎身.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
120760	scripts/Map/武狱黑牢/ai/2号_乐临川/镜花水月.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120761	scripts/Map/武狱黑牢/ai/2号_乐临川/蜂出泉流剑.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120762	scripts/Map/武狱黑牢/ai/2号_乐临川/崇岭连绵剑.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120763	scripts/Map/武狱黑牢/ai/2号_乐临川/九鬼拔马刀.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120764	scripts/Map/武狱黑牢/ai/2号_乐临川/落石.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120765	scripts/Map/武狱黑牢/ai/2号_乐临川/夺命碧波剑.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120766	scripts/Map/武狱黑牢/ai/2号_乐临川/浮影幻念.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120835	scripts/Map/武狱黑牢/ai/1号_时风/时风.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120836	scripts/Map/武狱黑牢/ai/1号_时风/范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
120837	scripts/Map/武狱黑牢/ai/1号_时风/技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
120838	scripts/Map/武狱黑牢/ai/1号_时风/羽刃扇形.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120839	scripts/Map/武狱黑牢/ai/1号_时风/时风幻影.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120840	scripts/Map/武狱黑牢/ai/1号_时风/羽刃.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120846	scripts/Map/武狱黑牢/ai/3号_牛波/牛波.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120847	scripts/Map/武狱黑牢/ai/3号_牛波/牛波范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120848	scripts/Map/武狱黑牢/ai/3号_牛波/牛波技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120849	scripts/Map/武狱黑牢/ai/3号_牛波/大象.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120850	scripts/Map/武狱黑牢/ai/3号_牛波/老虎.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120851	scripts/Map/武狱黑牢/ai/3号_牛波/鹰.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120852	scripts/Map/武狱黑牢/ai/3号_牛波/熊.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
120853	scripts\Map\武狱黑牢\ai\6号_翁幼之\森罗万刃.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
120854	scripts/Map/武狱黑牢/ai/4号_和正/和正.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
120855	scripts/Map/武狱黑牢/ai/4号_和正/和正围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
120856	scripts/Map/武狱黑牢/ai/4号_和正/和正技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
120922	scripts\Map\武狱黑牢\ai\6号_翁幼之\断魂流影.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
120923	scripts\Map\武狱黑牢\ai\6号_翁幼之\血影坠击.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
120924	scripts\Map\武狱黑牢\ai\6号_翁幼之\恶鬼噬心.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
122066	scripts/Map/武狱黑牢/ai/4号_和正/和正玩家移动监控总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
122068	scripts/Map/武狱黑牢/ai/4号_和正/和正影子残留.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
122073	scripts/Map/武狱黑牢/ai/2号_乐临川/浮影判定.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
122074	scripts/Map/武狱黑牢/ai/2号_乐临川/镜花水月判定.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
122080	scripts/Map/武狱黑牢/ai/3号_牛波/美梦.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
122082	scripts/Map/武狱黑牢/ai/4号_和正/和正专用技能释放.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
122085	scripts\Map\武狱黑牢\ai\6号_翁幼之\血魂裂爪.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
122114	scripts/Map/武狱黑牢/ai/4号_和正/法相消除位置提示.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
122156	scripts\Map\武狱黑牢\ai\6号_翁幼之\聚魂灭魄.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
122158	scripts/Map/武狱黑牢/ai/4号_和正/和正法相.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
122161	scripts/Map/武狱黑牢/ai/1号_时风/血刃.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
122163	scripts\Map\武狱黑牢\ai\6号_翁幼之\聚魂灭魄BOSS释放.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
122225	scripts/ai/CommonFoolish.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
122230	scripts/Map/武狱黑牢/ai/5号_武云阙/武云阙.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
122231	scripts/Map/武狱黑牢/ai/5号_武云阙/解兰舟.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
122232	scripts/ai/DungeonStandardAI.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
122233	scripts/ai/DungeonStandardAI.lua	1	1024	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	1	320
122234	scripts/Map/武狱黑牢/ai/5号_武云阙/武云阙范围总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
122235	scripts/Map/武狱黑牢/ai/5号_武云阙/武云阙技能总控.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
122236	scripts/Map/武狱黑牢/ai/5号_武云阙/油灯.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
122240	scripts/Map/武狱黑牢/ai/5号_武云阙/阴森.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
122241	scripts/Map/武狱黑牢/ai/5号_武云阙/火焰.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
122242	scripts/Map/武狱黑牢/ai/5号_武云阙/油污.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	1	0	320
122245	scripts/Map/副本通用AI/ai/通用无敌对话AI不转向.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
122248	scripts/Map/武狱黑牢/ai/5号_武云阙/铁索.lua	0	768	768	32	256	64	0	32	0	384	80	0	0	0	0		1	0	0	320
